Gene,F_P60_LPS 1,F_P60_LPS 2,M_P60_LPS 2,F_P60_LPS 4,F_P60_LPS 5,F_P60_LPS 6,M_P60_LPS 7,F_P60_Sal 1,F_P60_Sal 2,F_P60_Sal 3,F_P60_Sal 4,F_P60_Sal 5,M_P60_Sal 5,F_P60_Sal 7,M_P60_LPS 1,F_P60_LPS 3,M_P60_LPS 3,M_P60_LPS 4,M_P60_LPS 5,M_P60_LPS 6,M_P60_Sal 1,M_P60_Sal 2,M_P60_Sal 3,M_P60_Sal 4,F_P60_Sal 6
Zfp85-rs1,8,9,7,3,4,5,5,13,10,12,5,3,12,9,5,6,4,1,1,11,6,19,10,17,6
Scap,52,12,20,54,53,55,90,167,95,141,28,46,133,49,33,64,26,35,39,59,121,207,128,110,8
Zfp458,11,6,15,9,3,7,7,31,9,5,3,3,21,4,4,14,9,6,5,9,18,22,7,10,5
Fbxo41,2,1,0,1,2,0,0,1,3,2,0,0,2,0,0,0,0,1,1,0,2,4,0,1,0
Taf9b,32,25,14,22,36,32,17,68,29,62,15,17,54,32,17,8,18,30,18,31,65,41,52,55,30
BC051142,3,0,4,1,0,0,9,1,0,5,4,4,3,0,0,0,1,2,1,3,7,5,3,2,0
Ccdc148,10,21,1,7,9,7,1,22,2,17,5,0,22,11,5,5,4,7,5,2,27,12,38,23,7
BC048546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp941,0,2,0,0,1,0,1,2,3,3,0,0,5,2,0,1,0,0,1,0,0,0,1,6,1
BC031181,50,49,23,69,52,68,42,127,60,134,49,48,152,84,41,34,43,39,41,50,142,120,150,135,116
Baz2b,128,73,106,59,97,121,174,338,52,203,80,88,237,114,115,152,144,127,113,179,214,296,151,161,45
Tmem204,13,8,14,32,20,40,21,84,28,83,35,30,103,30,11,35,3,9,14,44,85,117,72,105,46
Ccdc111,67,40,63,26,61,72,64,151,44,117,62,46,107,47,57,39,50,45,23,88,85,105,43,71,17
BC048507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zfp456,24,20,22,19,15,25,19,55,14,39,16,18,36,16,10,11,20,15,16,15,28,43,15,26,13
Zfp738,41,31,21,16,12,12,19,78,14,41,21,19,67,25,17,30,25,17,8,23,47,61,31,35,17
Itga8,2,6,0,6,9,10,3,10,0,16,2,3,18,12,7,7,7,9,5,6,30,8,19,13,1
Pramel4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tbx10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc35d2,10,10,19,16,15,9,7,27,11,36,5,9,28,9,11,4,8,7,0,8,23,28,17,14,4
Adamts13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
St5,63,35,34,65,83,70,93,157,52,161,33,41,145,78,70,66,35,56,57,65,133,168,163,144,25
BC117090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC061194,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plekha8,22,18,24,10,21,32,16,69,12,51,23,15,58,30,13,30,14,28,16,17,57,76,35,50,16
Defb29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trpv1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
