Gene,F_P60_LPS 1,F_P60_LPS 2,F_P60_LPS 4,F_P60_LPS 5,F_P60_LPS 6,F_P60_Sal 1,F_P60_Sal 2,F_P60_Sal 3,F_P60_Sal 4,F_P60_Sal 5,F_P60_Sal 7,F_P60_LPS 3,F_P60_Sal 6
Zfp85-rs1,8,9,3,4,5,13,10,12,5,3,9,6,6
Scap,52,12,54,53,55,167,95,141,28,46,49,64,8
Zfp458,11,6,9,3,7,31,9,5,3,3,4,14,5
Fbxo41,2,1,1,2,0,1,3,2,0,0,0,0,0
Taf9b,32,25,22,36,32,68,29,62,15,17,32,8,30
BC051142,3,0,1,0,0,1,0,5,4,4,0,0,0
Ccdc148,10,21,7,9,7,22,2,17,5,0,11,5,7
BC048546,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp941,0,2,0,1,0,2,3,3,0,0,2,1,1
BC031181,50,49,69,52,68,127,60,134,49,48,84,34,116
Baz2b,128,73,59,97,121,338,52,203,80,88,114,152,45
Tmem204,13,8,32,20,40,84,28,83,35,30,30,35,46
Ccdc111,67,40,26,61,72,151,44,117,62,46,47,39,17
BC048507,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp456,24,20,19,15,25,55,14,39,16,18,16,11,13
Zfp738,41,31,16,12,12,78,14,41,21,19,25,30,17
Itga8,2,6,6,9,10,10,0,16,2,3,12,7,1
Pramel4,0,0,0,0,0,0,0,0,0,0,0,0,0
Tbx10,0,0,1,0,0,0,0,0,0,0,0,0,0
Slc35d2,10,10,16,15,9,27,11,36,5,9,9,4,4
Adamts13,0,0,0,0,0,0,0,1,0,0,0,0,0
St5,63,35,65,83,70,157,52,161,33,41,78,66,25
BC117090,0,0,0,0,0,0,0,0,0,0,0,0,0
BC061194,0,0,0,0,0,0,0,3,1,0,0,0,0
Plekha8,22,18,10,21,32,69,12,51,23,15,30,30,16
Defb29,0,0,0,0,0,0,0,0,0,0,0,0,0
Trpv1,0,0,0,0,0,0,0,1,0,0,0,0,1
Cyp2c44,0,0,0,0,0,0,0,0,0,0,0,0,0
Zscan22,9,6,12,8,10,47,8,29,17,12,7,5,5
AF067063,0,0,0,0,0,0,0,0,0,0,0,0,0
Ssxb2,0,0,0,0,0,0,0,0,0,0,0,0,0
Tas2r138,0,0,0,0,0,0,0,0,0,0,0,0,0
Tas2r143,1,0,0,0,0,0,0,0,0,0,0,0,0
Tas2r144,0,0,0,0,0,0,0,0,0,0,0,0,0
Ttyh1,9,2,1,10,4,29,4,24,3,1,17,4,1
Atp8b1,38,12,13,13,26,49,7,36,19,13,17,29,3
BC021785,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxgr1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tpm4,251,183,204,281,370,267,90,264,101,83,152,133,111
Lca5l,2,2,3,3,0,8,1,12,0,1,1,7,2
BC056474,11,7,19,20,32,27,13,33,11,9,8,15,9
