Gene,M_P60_LPS 2,M_P60_LPS 7,M_P60_Sal 5,M_P60_LPS 1,M_P60_LPS 3,M_P60_LPS 4,M_P60_LPS 5,M_P60_LPS 6,M_P60_Sal 1,M_P60_Sal 2,M_P60_Sal 3,M_P60_Sal 4
Zfp85-rs1,7,5,12,5,4,1,1,11,6,19,10,17
Scap,20,90,133,33,26,35,39,59,121,207,128,110
Zfp458,15,7,21,4,9,6,5,9,18,22,7,10
Fbxo41,0,0,2,0,0,1,1,0,2,4,0,1
Taf9b,14,17,54,17,18,30,18,31,65,41,52,55
BC051142,4,9,3,0,1,2,1,3,7,5,3,2
Ccdc148,1,1,22,5,4,7,5,2,27,12,38,23
BC048546,0,0,0,0,0,0,0,0,0,0,0,0
Zfp941,0,1,5,0,0,0,1,0,0,0,1,6
BC031181,23,42,152,41,43,39,41,50,142,120,150,135
Baz2b,106,174,237,115,144,127,113,179,214,296,151,161
Tmem204,14,21,103,11,3,9,14,44,85,117,72,105
Ccdc111,63,64,107,57,50,45,23,88,85,105,43,71
BC048507,0,0,0,0,0,0,0,0,1,0,0,0
Zfp456,22,19,36,10,20,15,16,15,28,43,15,26
Zfp738,21,19,67,17,25,17,8,23,47,61,31,35
Itga8,0,3,18,7,7,9,5,6,30,8,19,13
Pramel4,0,0,0,0,0,0,0,0,0,0,0,0
Tbx10,0,0,0,0,0,0,0,0,0,0,0,0
Slc35d2,19,7,28,11,8,7,0,8,23,28,17,14
Adamts13,0,0,0,0,1,0,0,0,0,0,0,0
St5,34,93,145,70,35,56,57,65,133,168,163,144
BC117090,0,0,0,0,0,0,0,0,0,0,0,0
BC061194,0,2,0,0,0,0,0,0,0,0,0,0
Plekha8,24,16,58,13,14,28,16,17,57,76,35,50
Defb29,0,0,0,0,0,0,0,0,0,0,0,0
Trpv1,0,0,0,0,0,0,0,0,0,0,0,0
Cyp2c44,0,0,0,0,0,0,0,0,0,1,0,0
Zscan22,6,12,30,6,6,7,10,6,24,34,33,32
AF067063,0,0,0,0,0,0,0,0,0,0,0,0
Ssxb2,0,0,0,0,0,0,0,0,0,0,0,0
Tas2r138,0,0,0,0,0,0,0,0,0,0,0,0
Tas2r143,0,2,0,0,0,0,0,0,1,0,1,0
Tas2r144,0,0,0,0,0,0,0,0,0,0,0,0
Ttyh1,3,2,32,5,3,2,2,3,32,7,26,12
Atp8b1,17,20,32,5,28,27,24,31,37,53,10,20
BC021785,0,0,0,0,0,0,0,0,0,0,0,0
Oxgr1,1,0,0,0,1,0,0,0,0,0,0,0
Tpm4,179,252,237,172,296,348,208,173,312,283,198,242
Lca5l,0,4,6,8,2,0,2,2,6,4,11,8
BC056474,4,22,17,6,3,5,8,20,23,39,29,39
Tnip3,20,56,3,19,42,105,49,37,9,4,1,7
Gja6,0,0,0,0,0,0,0,0,1,0,0,0
Dub2a,0,0,0,0,0,0,0,0,0,0,0,0
Dab2ip,13,34,128,17,8,36,32,22,83,197,122,131
Prss48,0,0,0,0,0,0,0,0,0,0,0,0
Sohlh1,0,0,0,0,0,0,0,0,0,0,0,0
Zfp239,2,2,1,0,0,0,0,1,2,4,2,0
Prrxl1,0,0,0,0,0,0,0,0,0,0,0,0
Spink7,0,0,0,0,0,0,0,0,0,0,0,0
Ephx4,1,2,7,8,2,2,2,2,21,4,24,17
Olfr576,0,0,0,0,0,0,0,0,0,0,0,0
Zfp36l2,264,540,1019,340,176,142,145,531,868,1469,570,881
Olfr279,0,0,0,0,0,0,0,0,0,0,0,0
Olfr221,0,0,0,0,0,0,0,0,0,0,0,0
Olfr218,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1206,0,0,0,0,0,0,0,0,0,0,0,0
Mpzl1,10,12,103,11,10,21,16,10,78,71,72,104
2510009E07Rik,65,79,275,54,58,86,54,74,236,316,198,231
Rtel1,9,17,26,14,5,17,6,17,30,32,33,19
Hecw2,2,0,20,2,4,9,4,3,30,6,29,17
Nckap5l,33,128,118,43,37,60,155,104,114,553,79,87
Tmem151a,0,0,0,0,0,0,1,0,9,1,0,3
H2-K1,336,737,752,392,393,613,734,803,796,1531,464,819
Eea1,101,132,200,97,99,87,99,119,216,261,174,174
Megf10,0,0,1,1,1,2,1,0,3,0,3,2
Limch1,10,25,103,32,17,17,17,16,105,63,99,80
Utp14b,7,4,13,6,4,5,2,5,16,16,15,6
A430105I19Rik,3,4,32,5,6,4,7,8,26,29,27,37
Pi4ka,57,133,281,102,102,102,84,119,293,327,249,241
Kdm2a,182,283,463,158,154,186,163,251,428,612,311,349
Nat8l,3,15,21,3,4,4,10,6,16,63,11,14
8430427H17Rik,14,49,103,25,22,8,22,32,76,148,50,76
Gp1bb,0,3,9,2,3,2,2,2,8,7,13,8
