"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Zfp85-rs1",6.95598206236513,0.0660268444867221,0.301943749856931,0.218672665084166,0.826905043758447,0.926843601459872
"Scap",59.0412893168668,0.238940008060982,0.21215797182569,1.12623629461021,0.260065514644793,0.537939529702098
"Zfp458",8.86083930246412,-0.509564015574192,0.304872035276025,-1.67140293832736,0.0946421159375742,0.311447365849007
"Fbxo41",0.775772541065277,0.0505280215766589,0.827977102909218,0.0610258682264537,0.951338607579653,0.980510473110995
"Taf9b",29.493001998821,0.0492874508212479,0.190692871102442,0.258465093824981,0.796047984980708,0.912596806599836
"BC051142",2.10034695839015,-0.199489544130419,0.648884007879605,-0.307434829195902,0.75851242110699,0.893962699929936
"Ccdc148",9.15349156774425,0.204235989499254,0.416624444519062,0.490216049936814,0.623981024647505,0.819975738824613
"BC048546",0,NA,NA,NA,NA,NA
"Zfp941",0.974916790877925,1.17263215387116,0.849597854297128,1.3802202394229,0.167518844170773,0.427910355366787
"BC031181",69.6734267803631,0.478767835879114,0.199118653726563,2.40443487799277,0.0161974918366503,0.0982788076114677
"Baz2b",130.047790520716,-0.545883759499451,0.146623530551242,-3.72302970367144,0.000196846352943256,0.00278124847061762
"Tmem204",34.581508901945,0.920410201738396,0.230731484259645,3.98909669693212,6.63253823282606e-05,0.00107510288559571
"Ccdc111",58.4925874644167,-0.399604689084482,0.176393131178618,-2.2654209175517,0.0234868619153906,0.128040395412724
"BC048507",0.0203679583108258,-0.519528994800925,3.0009538303155,-0.173121288822462,0.862556091544075,NA
"Zfp456",20.5831144824361,-0.343866371585941,0.187456276198103,-1.83438174789381,0.0665973470386697,0.25461768033115
"Zfp738",26.1515547962867,-0.108011936806217,0.221488632466207,-0.487663568118767,0.625788161096676,0.820861770588823
"Itga8",7.07977569542755,-0.110242021924345,0.379004119141471,-0.290872885957198,0.771148539005881,0.899277637299811
"Pramel4",0,NA,NA,NA,NA,NA
"Tbx10",0.052849362524304,-0.981926127727308,3.0009538303155,-0.327204676662444,0.743513083945352,NA
"Slc35d2",11.6890490716909,-0.106889420560294,0.27042103351424,-0.395270364776064,0.692643367907476,0.859275043776879
