"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Zfp85-rs1",6.92644666349484,0.0966747104384809,0.454893543354916,0.212521614893649,0.831700116654332,0.978895049151039
"Scap",52.737644332166,0.128599884052636,0.369769635748016,0.347783786498554,0.728002566960492,0.961772987820241
"Zfp458",7.56593953945232,-0.55867557816998,0.50126603187338,-1.11452909761718,0.265052268621713,0.794702314614529
"Fbxo41",0.861535336927942,-0.676104945698965,1.24229346975815,-0.544239313944545,0.586276801474476,NA
"Taf9b",28.469401999588,0.0697022938209444,0.29943420105666,0.232780001666393,0.815932242743573,0.97649573439135
"BC051142",1.29956790028044,1.31824011343259,1.36996502197771,0.962243628329688,0.335927238336143,0.841510183241214
"Ccdc148",8.92994788498635,-0.782081830754013,0.542531031430577,-1.44154303707158,0.149431327949444,0.663529471376592
"BC048546",0,NA,NA,NA,NA,NA
"Zfp941",1.08860231333211,0.74641977189705,1.13229695599076,0.659208494686743,0.509761892793634,0.913574445827145
"BC031181",70.4917788401087,0.457759657284879,0.322946083605751,1.41744916728486,0.156351646312665,0.674049705421647
"Baz2b",102.876207920125,-0.229392659506679,0.230590990253542,-0.994803219564021,0.319831980076872,0.832358938671624
"Tmem204",33.7838771398825,0.624797844450111,0.331235011311178,1.88626752340243,0.0592589133615724,0.44703675969786
"Ccdc111",52.6857302336819,-0.0271661215816182,0.235290389562066,-0.115457846077696,0.908082230926287,0.98768616040518
"BC048507",0,NA,NA,NA,NA,NA
"Zfp456",19.7397696417658,-0.128090432495218,0.264153277588355,-0.484909495216747,0.627740546642836,0.944189986784516
"Zfp738",25.1321229386722,-0.187566791357452,0.361358290547953,-0.519060434653461,0.603718597975142,0.937744641056649
"Itga8",5.6289895178054,-0.649729707532586,0.562329768484693,-1.1554247061887,0.247916549411964,0.782023026495998
"Pramel4",0,NA,NA,NA,NA,NA
"Tbx10",0.0918190793403512,-0.755179939370498,3.10857811988902,-0.242934200218028,0.808056371092823,NA
"Slc35d2",10.8361762771029,-0.145846903575412,0.373698362252968,-0.390279750481443,0.696329695219712,0.956458040943421
"Adamts13",0.0324114014148328,0.173661499429762,3.1046164516048,0.0559365390658788,0.955392362419467,NA
"St5",61.4870543697026,-0.232011605116966,0.192275649598755,-1.20666140304887,0.227562569049879,0.762622755817907
"BC117090",0,NA,NA,NA,NA,NA
"BC061194",0.196027520116411,1.09327388258269,3.00522669991415,0.363790819046669,0.716014218933789,NA
"Plekha8",23.492193040698,-0.00912897397073247,0.270177712231813,-0.0337887751558863,0.973045586963914,0.997320431483472
"Defb29",0,NA,NA,NA,NA,NA
"Trpv1",0.157008140544761,0.604819080647886,3.09825176474996,0.19521301900935,0.845226187433705,NA
"Cyp2c44",0,NA,NA,NA,NA,NA
"Zscan22",11.069631105405,0.549598498556137,0.363884237554261,1.51036632487876,0.13094997640985,0.629652194923696
"AF067063",0,NA,NA,NA,NA,NA
"Ssxb2",0,NA,NA,NA,NA,NA
"Tas2r138",0,NA,NA,NA,NA,NA
"Tas2r143",0.0764616062805846,-0.755179939370498,3.10857811988902,-0.242934200218027,0.808056371092823,NA
"Tas2r144",0,NA,NA,NA,NA,NA
"Ttyh1",6.06826666238835,0.506767672181104,0.603315424141567,0.839971351473673,0.400924449588264,0.875260560993983
"Atp8b1",18.567534393849,-0.623252354456426,0.354511905181892,-1.7580576148399,0.0787377066364983,0.51612721326755
"BC021785",0,NA,NA,NA,NA,NA
"Oxgr1",0,NA,NA,NA,NA,NA
"Tpm4",182.073677511723,-1.00174396472319,0.201814273184418,-4.9636923539486,6.91654731998206e-07,4.40353512705524e-05
"Lca5l",2.60288086600866,-0.468695483154647,0.770700498067718,-0.60814218276717,0.543093177143518,0.922889892776703
"BC056474",14.8420932468155,-0.568850057977807,0.311722201704925,-1.82486218455584,0.0680218290140364,0.47990347140042
"Tnip3",20.1304111727279,-3.94729680276833,0.536593119932534,-7.35621955656947,1.89191743681734e-13,3.95771109520885e-11
"Gja6",0.229384818841754,-1.72060721649004,3.09992699352866,-0.555047657600307,0.578862063288891,NA
"Dub2a",0,NA,NA,NA,NA,NA
"Dab2ip",36.3063362123461,-0.496117268196488,0.347450939820035,-1.42787718016666,0.153327212921169,0.668096638899994
"Prss48",0.249193478259857,0.756839241867754,3.09636954741695,0.244427943847699,0.806899401924964,NA
"Sohlh1",0,NA,NA,NA,NA,NA
"Zfp239",0.818101021227208,1.08755792324658,1.24546094472737,0.87321720351869,0.382544699575221,NA
"Prrxl1",0,NA,NA,NA,NA,NA
"Spink7",0,NA,NA,NA,NA,NA
"Ephx4",4.76174843655528,-0.723910885808788,0.65838972720147,-1.09951728573564,0.271542498439873,0.80033182361456
"Olfr576",0,NA,NA,NA,NA,NA
"Zfp36l2",414.29870909898,0.611878366385706,0.378606781734059,1.61613155364845,0.106065873409164,0.584352997971784
"Olfr279",0,NA,NA,NA,NA,NA
"Olfr221",0,NA,NA,NA,NA,NA
"Olfr218",0,NA,NA,NA,NA,NA
"Olfr1206",0,NA,NA,NA,NA,NA
"Mpzl1",26.089298456957,0.484019189732998,0.469598292112486,1.03070900781099,0.30267729931949,0.820688029254501
"2510009E07Rik",81.9248647360469,0.720725907465629,0.162722258180151,4.42917837747623,9.45927630866829e-06,0.000481327422671581
"Rtel1",11.7649998621172,0.0444902314548632,0.48605616479757,0.0915331080583912,0.927069000220018,0.990267594339678
"Hecw2",7.86609516688454,0.419586159388542,0.584685472988372,0.717627132488866,0.472987223421979,0.901706728985716
"Nckap5l",63.6874856709651,-0.130051652848094,0.37853968484,-0.343561475999705,0.731176100661077,0.96215479040255
"Tmem151a",0.364076660466936,0.260237146394849,1.87892268900265,0.13850338170805,0.889842597159368,NA
"H2-K1",536.687319537311,-0.342241561183766,0.200262927999894,-1.70896113725026,0.0874581484463716,0.538351676027432
"Eea1",92.2393028374383,-0.0394910020283789,0.260558012351675,-0.151563184228923,0.879531472602165,0.984586265633039
