"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Zfp85-rs1",6.90053767595414,0.0142169721459592,0.476325249061405,0.029847194063245,0.976188920096035,0.988383979166654
"Scap",66.5678549619578,0.343804879708418,0.227919466450496,1.50844894937086,0.131439663082313,0.284236433906232
"Zfp458",10.4781328320729,-0.471923221175937,0.407253566365183,-1.15879456965336,0.246539931532223,0.430096619102767
"Fbxo41",0.648787278799701,0.961755695692375,1.31221262519848,0.732926720276679,0.463603124989693,NA
"Taf9b",30.3546333819298,-0.00865887217812252,0.265273730328893,-0.03264127272379,0.973960656478898,0.987286918734702
"BC051142",3.15121443686004,-0.853067064670346,0.686697388727473,-1.2422750962417,0.2141350805187,0.392141566069626
"Ccdc148",9.24496334327088,1.39338960894474,0.529639991165323,2.63082401666646,0.00851781304493261,0.0411197690307308
"BC048546",0,NA,NA,NA,NA,NA
"Zfp941",0.800969799625722,1.50611528961462,1.50353383524402,1.0017169246944,0.316480330126725,NA
"BC031181",67.2670692530068,0.432454525486422,0.208707879555448,2.07205653379048,0.038260169264935,0.122163574192238
"Baz2b",164.48880818583,-0.788410081140042,0.143304698112499,-5.50163456972717,3.76286244970568e-08,1.1343060858968e-06
"Tmem204",35.0313970056938,1.21741234528217,0.315199940068423,3.8623495455548,0.000112301728004656,0.00130611632956907
"Ccdc111",65.5626951577302,-0.851416099380289,0.240756327939966,-3.53642251759462,0.00040558545505365,0.00372934723787442
"BC048507",0.0470955779668918,-0.832053430937221,3.16074941007297,-0.263245617727731,0.792361272459868,NA
"Zfp456",21.423362109363,-0.632041150324241,0.290109563102411,-2.17862914812335,0.029359229028392,0.101345872200787
"Zfp738",27.1228949511204,-0.0586036144283133,0.276674899435009,-0.211813990166749,0.832252153584012,0.90878097212105
"Itga8",8.87659910711944,0.35739340096267,0.514054776357659,0.695243809414602,0.486902521671341,0.667702698158217
"Pramel4",0,NA,NA,NA,NA,NA
"Tbx10",0,NA,NA,NA,NA,NA
"Slc35d2",12.6897517660042,-0.0997287523526835,0.459198760941714,-0.217179924763216,0.828068129035942,0.90589825961284
"Adamts13",0.151713594523166,-1.8213184312312,3.16074941007297,-0.576229936301452,0.564459773154635,NA
"St5",84.0586628172193,0.000431812203016837,0.190061336943588,0.00227196235678907,0.998187237872316,0.998777575560124
"BC117090",0,NA,NA,NA,NA,NA
"BC061194",0.184450133847092,-2.23351118044096,3.16074941007297,-0.706639752371066,0.479790378593927,NA
