,pvals,direction,sig,logdiff
,,,,
,,,,
,,,,
,,,,
Dnajc18,0.02322677325969338,DOWN,2.431688020263549,-0.710953779433903
Ipo11,0.020011228148446945,DOWN,2.499612272451123,-0.5039315286201566
Mfsd2a,0.0004058509723926812,DOWN,4.131304787566935,-2.271910970579756
Fam101b,0.0005082297663620814,DOWN,4.040868813054564,-1.7517232625735444
1600029D21Rik,0.0001565802609105505,UP,-4.513321228355291,2.29483585138212
Commd9,0.002991918299022082,DOWN,3.3187585822318804,-0.8290585319538741
Fam65b,0.0032290769910770503,UP,-3.287076775770915,2.0546390042747054
Creld2,0.0025763468294553323,DOWN,3.3806705058331707,-0.9261267099656322
Arpc2,0.000662517166600893,UP,-3.9340770516910184,0.665882443435627
Srxn1,0.02977573707473872,UP,-2.316739460084695,0.9968578645411688
Abhd14b,0.03269748433092671,DOWN,2.272811120344822,-0.6656624508775357
Zfp773,0.022637011395304607,DOWN,2.4434644913243107,-1.0521088345456253
Mtif3,9.63247143975011e-07,DOWN,6.608741756916669,-1.180977081370196
3110002H16Rik,0.007051114827381487,DOWN,2.9579985318960516,-0.539990612185539
Msrb2,0.0005828299819207283,DOWN,3.9857303625839102,-0.6741804324572042
Prss23,0.0027192115165504773,DOWN,3.358355756544549,-1.4680703972651836
2310003C23Rik,0.00280022378146584,DOWN,3.346203728584383,-0.8143309166201012
Wdyhv1,5.3663984702524494e-05,DOWN,4.9434719371198765,-1.1293161308117339
Ptgr2,0.024184296279523988,DOWN,2.4131445671503142,-0.6305301222254793
Tbcd,0.021945423854992614,DOWN,2.4576417168160027,-0.8520274189595147
5930434B04Rik,0.0378827224927728,DOWN,2.202994011904736,-0.8289107881530021
Ston1,0.00012583079058003653,UP,-4.600993228566455,1.164095751599873
1700109H08Rik,0.019537364984554793,UP,-2.5104688626545597,0.8957869953981799
Jmjd5,0.03043691095658568,DOWN,2.3064641095509604,-1.0443486965534248
2610029I01Rik,0.008214036021679697,DOWN,2.8924762902066905,-0.7385472321697015
Tmem200a,0.03453176711658114,DOWN,2.2470305866733686,-2.229031248788313
Fam115a,0.014678044082138348,DOWN,2.6386934691061428,-0.7769358975711629
Vps33a,0.006901863354050175,DOWN,2.9671456434105967,-0.5292573911314591
Ptprb,0.00018499112316433292,DOWN,4.446476671207332,-1.636589633445244
Nkrf,0.021739398184115324,UP,-2.4619452338583003,0.49499572240170125
Gpr30,0.02767413701677323,DOWN,2.350849986057099,-1.0370232212991661
Hyls1,0.02205222740172666,DOWN,2.4554254967639007,-1.1507985990329037
Fam54b,0.004513596063656859,DOWN,3.147093194456966,-0.6864127647872313
Usp42,0.022249691469125758,UP,-2.451354102737832,0.5258381946628272
Cluap1,0.04545335253302419,DOWN,2.1152280594203976,-0.7286322570938244
Ddrgk1,0.009599080979253006,DOWN,2.825111247298338,-0.7457768923797511
2310014L17Rik,0.013928255286973685,UP,-2.6619531574151587,1.3501159454580698
Lrg1,0.02341963862811333,UP,-2.427896842824665,2.273718697062734
Mettl15,0.011725143641013179,DOWN,2.7378355035505417,-0.8223361025876467
Ttc8,0.028606500687890866,DOWN,2.335433600625969,-0.6662270820575994
