,pvals,direction,sig,logdiff
,,,,
,,,,
Dnajc18,0.004442263544272625,DOWN,3.652719664618382,-1.1248170728563711
Mfsd2a,0.0035350802916916915,DOWN,3.7914318832358855,-2.068528770885832
Fam101b,0.0005576114567864647,DOWN,4.974898715165439,-2.6352210748583635
Atg2b,0.017822918685028003,DOWN,2.830947624321981,-0.24949914125463873
Dapk1,0.0031581115930611587,DOWN,3.860415568587808,-0.7903122976086296
Tmem101,0.014580088222257502,DOWN,2.948176172354357,-1.1167748335307903
Gpr172b,0.0035361429605762244,DOWN,3.7912484743681563,-1.90430856408765
1600029D21Rik,0.0013932993356941534,UP,-4.372655419513531,2.6950827229601084
Commd9,0.007849049231066012,DOWN,3.312280529663494,-1.3169840974898785
Fam65b,0.0056291643681484005,UP,-3.5102650592417337,2.841280429855094
Snx27,0.0011275108938748437,DOWN,4.5088921552149746,-0.35151487938102627
Creld2,0.04089850250910491,DOWN,2.346291130219781,-1.0545067036764213
Arpc2,0.000880688931301328,UP,-4.670087859033769,1.0338310937263926
Abhd14b,0.003010982255989112,DOWN,3.88970834672889,-1.2974334247879478
Fahd2a,0.030792206389006545,DOWN,2.5122772058092555,-1.0274261576848356
Det1,0.03141642274863158,DOWN,2.500564912205921,-1.1502486594652845
Mtif3,0.005713363398984735,DOWN,3.5013752879018445,-1.2066339661497312
Idh3a,0.01958231232724266,DOWN,2.7760686209437764,-1.2503696780790856
Clybl,0.0064895736650982735,DOWN,3.4252891079307615,-1.284949572553195
Gstk1,0.005513856497254635,DOWN,3.522665446329602,-1.1431263131707086
Glt8d1,0.03182043025537898,DOWN,2.4931063640510738,-1.0867354131667835
Pcolce2,0.039616123179942786,DOWN,2.3649661521749183,-1.014917502437974
Msrb2,0.0003343199263883199,DOWN,5.327144997056942,-0.999453129695845
Prss23,8.089876255064148e-05,DOWN,6.374785643611787,-2.876792167305338
1700027A23Rik,0.01211629464124546,DOWN,3.0565148838489,-1.1777906299684113
Wdyhv1,0.010905433182099664,DOWN,3.1183029161125404,-1.3542446280333196
Tbcd,0.0014523111083192754,DOWN,4.3461489335221835,-1.6472043116037247
5930434B04Rik,0.0013758376259106844,DOWN,4.380726642539407,-1.6419471179905825
Dync2h1,0.03593720321583245,DOWN,2.4220211178272373,-0.8215032541650278
Bcl7a,0.029311875894949324,DOWN,2.5410193998114097,-0.6956589015896483
1700109H08Rik,0.022378298884090368,UP,-2.698307180695577,1.2505906330224252
Jmjd5,0.00012314422777418555,DOWN,6.052836104434691,-2.4757278769613866
Hgsnat,0.01786758798535401,DOWN,2.8294879650779086,-0.8024840859220823
Fam115a,7.42081241284198e-05,DOWN,6.442249191670293,-1.6033970708788343
Vps33a,0.008660265229412769,DOWN,3.254094081114018,-0.630005340263393
Ptprb,1.0920373035257269e-06,DOWN,10.416675801404146,-2.6035575111694356
Mtus2,0.02694718545929723,DOWN,2.5900599977973484,-0.8745783621728566
Eprs,0.031071724504092898,UP,-2.5070038140208917,0.319663386486823
Gpr30,0.00015607611709816645,DOWN,5.875764361842067,-2.3674967243884506
Unc5b,0.0025746210069663494,DOWN,3.986302946526398,-1.9867661082279366
