,pvals,direction,sig,logdiff
,,,,
,,,,
,,,,
,,,,
Mfsd2a,0.029810409725676196,DOWN,2.494231803045737,-2.9050827556832215
1600029D21Rik,0.04079880951519316,UP,-2.3169163102820365,1.9903683083151285
Creld2,0.025239172042638806,DOWN,2.587751674841559,-0.8429490212505256
Spcs3,0.021521150193605548,DOWN,2.6770539003776754,-0.5514556842242061
Fahd2a,0.010836301783215353,UP,-3.060808685249513,0.7376272450899244
Zfp773,0.016086142362547594,DOWN,2.8398515493237,-1.921668054465571
Mtif3,5.521557179727568e-05,DOWN,6.339943959362931,-1.1000047330677232
3110002H16Rik,0.0207305593811262,DOWN,2.698003750325717,-0.719299807717857
Lyrm1,0.0320477783722739,DOWN,2.4534723893211923,-0.7376160153245851
2310003C23Rik,0.005229071718397816,DOWN,3.471181202091002,-1.2658170040489596
Wdyhv1,0.0022481890281628165,DOWN,3.956321865868435,-0.8832445026926959
Ston1,0.001476288985063871,UP,-4.203724774456607,1.7186474481594747
Hyls1,0.03748714206701692,DOWN,2.3649141147941704,-2.6263645899497243
Rph3al,0.004534269617391284,UP,-3.5522308821513686,2.1157569923282025
Arhgap24,0.030221323090168492,DOWN,2.4865266746126156,-1.1542825375040007
4930547N16Rik,0.03711708949610142,UP,-2.3705301490093076,1.6440763413753885
Fpgt,0.049978829228900505,DOWN,2.201227614083089,-0.6937929496884948
Zc3h14,0.022429311309145633,DOWN,2.653908971106899,-0.40228240146576655
Sf3a3,0.007402452281306761,DOWN,3.274751059207284,-0.9247510118399632
Kbtbd11,0.017605556092961237,DOWN,2.789395694052793,-1.2612348410734118
Rnf121,0.019357291772024474,DOWN,2.7363516556357355,-1.3634145831606177
Gpr165,0.0024308113958071706,DOWN,3.9108420841690212,-1.126772724299713
Ttpal,0.04748613676434474,UP,-2.2304835707675865,0.656156128923096
Ms4a4c,0.0022462246491589248,UP,-3.956831676839968,1.7833180724193245
Zmym2,0.01608193948291634,DOWN,2.8399976162734557,-0.4882728385622602
Urb1,0.022550595756117658,UP,-2.6508883671057792,0.7261706364110055
Chmp4b,0.008049155589748978,UP,-3.2276248421813953,1.1993272463977138
Slc10a6,0.03729388186708325,UP,-2.3678403592761725,4.159308613469386
Ctns,0.0276638151180986,DOWN,2.5362538037255637,-0.7893476271981685
Gimap3,0.02748021830620518,DOWN,2.5399950309199104,-3.2070140144432524
Msr1,0.001492670755468233,UP,-4.197176879902496,1.4390245458309743
Akap12,1.5462326437434626e-09,UP,-18.109683913819445,5.709529857366965
Sytl1,0.029207766796084226,UP,-2.505722098009945,3.009352378559246
Hspa8,0.020775820667337002,DOWN,2.6967831748724596,-0.7575573226062259
Srebf2,0.013973504294111544,UP,-2.9185569867073164,0.8641655857031662
Ppp1ca,0.039342940002921115,DOWN,2.3375351206711663,-0.7684753608753385
Fam55b,0.043572606364451136,DOWN,2.279523662629153,-3.71267556009361
Snapc3,0.04488659070610723,DOWN,2.262602921954173,-0.8606924412853116
Tmem50b,0.004517407046099093,DOWN,3.5543532109523874,-1.0323566702845668
Klrb1b,0.007144126074532601,UP,-3.294759024044084,1.3582855380218346
Parp9,0.0101932909387525,UP,-3.0950770096175826,0.5574380833820483
