,level_0,level_1,level_2,level_3,0
0,18,SAL,F,F_E18 1,0.22071937322182897
1,18,SAL,F,F_E18 2,0.15026554802450845
2,18,SAL,F,F_E18 3,0.21753527968566658
3,18,SAL,F,F_E18 4,0.0
4,35,SAL,F,F_P14 1,0.5355973702996725
5,35,SAL,F,F_P14 2,0.5354133696635986
6,35,SAL,F,F_P14 3,0.49410669195206325
7,35,SAL,F,F_P14 4,0.5368220020372269
8,35,SAL,F,F_P14 5,0.4224553658331008
9,35,SAL,F,F_P14 6,0.5142918562452573
10,35,SAL,F,F_P14 7,0.5424250513609089
11,35,SAL,F,F_P14 8,0.683394399904041
12,35,SAL,F,F_P14 9,0.6255851136574544
13,35,SAL,F,F_P14 10,0.648201657702178
14,25,SAL,F,F_P4 1,0.33389173088592555
15,25,SAL,F,F_P4 2,0.40442901280688076
16,25,SAL,F,F_P4 3,0.40327857829556646
17,25,SAL,F,F_P4 4,0.41366871649281317
18,81,LPS,F,F_P60_LPS 1,0.8722569700413773
19,81,LPS,F,F_P60_LPS 2,0.7362536554035674
20,81,LPS,F,F_P60_LPS 3,0.9798418101074368
21,81,LPS,F,F_P60_LPS 4,0.6577133999124094
22,81,LPS,F,F_P60_LPS 5,0.7011223596772911
23,81,LPS,F,F_P60_LPS 6,0.6662546423460775
24,81,LPS,F,F_P60_LPS 8,0.8655611841402756
25,81,SAL,F,F_P60_Sal 1,0.8131734074913027
26,81,SAL,F,F_P60_Sal 2,0.7644807628048826
27,81,SAL,F,F_P60_Sal 3,0.7611399067654202
28,81,SAL,F,F_P60_Sal 4,0.8664015207103124
29,81,SAL,F,F_P60_Sal 5,0.9938913553240475
30,81,SAL,F,F_P60_Sal 6,0.757257945015708
31,81,SAL,F,F_P60_Sal 7,0.7476044288858118
32,18,SAL,M,M_E18 1,0.13591232699688996
33,18,SAL,M,M_E18 2,0.18570559730059014
34,18,SAL,M,M_E18 3,0.1350901566408139
35,35,SAL,M,M_P14 1,0.6399671750219444
36,35,SAL,M,M_P14 2,0.5688746906976732
37,35,SAL,M,M_P14 3,0.5837344096718795
38,35,SAL,M,M_P14 4,0.5296041346858736
39,35,SAL,M,M_P14 5,0.4744244299887331
40,35,SAL,M,M_P14 6,0.4771763213468452
41,35,SAL,M,M_P14 7,0.48828435961147915
42,35,SAL,M,M_P14 8,0.624752475068617
43,35,SAL,M,M_P14 9,0.7004125016342769
44,35,SAL,M,M_P14 10,0.6355890363268932
45,25,SAL,M,M_P4 1,0.3540040951042271
46,25,SAL,M,M_P4 2,0.3886264669852317
47,25,SAL,M,M_P4 3,0.3598608709121733
48,25,SAL,M,M_P4 4,0.4505669651262285
49,81,LPS,M,M_P60_LPS 1,0.8228971281909666
50,81,LPS,M,M_P60_LPS 2,0.7683318050207619
51,81,LPS,M,M_P60_LPS 3,1.0
52,81,LPS,M,M_P60_LPS 4,0.7409927588815952
53,81,LPS,M,M_P60_LPS 5,0.7445657886760257
54,81,LPS,M,M_P60_LPS 6,0.8467645383887124
55,81,SAL,M,M_P60_Sal 1,0.72067890693439
56,81,SAL,M,M_P60_Sal 2,0.7685962237674825
57,81,SAL,M,M_P60_Sal 3,0.6215341892910916
58,81,SAL,M,M_P60_Sal 4,0.6506345324180627
59,81,SAL,M,M_P60_Sal 5,0.68461322635628
