,age,sex,tx,sample_name,index
0,E18,Female,SAL,F_E18 1,0.10535059153271603
1,E18,Male,SAL,M_E18 1,0.05452142349000955
2,E18,Female,SAL,F_E18 3,0.10569270480819783
3,E18,Male,SAL,M_E18 4,0.0
4,P14,Female,SAL,F_P14 1,0.40563747836935077
5,P14,Female,SAL,F_P14 2,0.41533691716515386
6,P14,Female,SAL,F_P14 3,0.3592338472863597
7,P14,Female,SAL,F_P14 4,0.4136009296629252
8,P14,Female,SAL,F_P14 5,0.280081915753251
9,P14,Female,SAL,F_P14 6,0.3883542079672877
10,P14,Female,SAL,F_P14 7,0.4234721444225296
11,P14,Female,SAL,F_P14 8,0.6099111125679401
12,P14,Female,SAL,F_P14 9,0.5249403381339459
13,P14,Female,SAL,F_P14 10,0.5659004986653899
14,P4,Male,SAL,M_P4 1,0.18550888738306176
15,P4,Female,SAL,F_P4 2,0.26237532973473926
16,P4,Female,SAL,F_P4 3,0.26383947053740286
17,P4,Female,SAL,F_P4 4,0.2702234723708008
18,P60 + LPS,Female,LPS,F_P60_LPS 1,0.8394159766035264
19,P60 + LPS,Female,LPS,F_P60_LPS 2,0.6158651498641661
20,P60 + LPS,Male,LPS,M_P60_LPS 2,0.9634304103802129
21,P60 + LPS,Female,LPS,F_P60_LPS 4,0.5407711791973827
22,P60 + LPS,Female,LPS,F_P60_LPS 5,0.6052049611475462
23,P60 + LPS,Female,LPS,F_P60_LPS 6,0.5749883191988718
24,P60 + LPS,Male,LPS,M_P60_LPS 7,0.8281299762323382
25,P60,Female,SAL,F_P60_Sal 1,0.774915489475882
26,P60,Female,SAL,F_P60_Sal 2,0.7142739969127108
27,P60,Female,SAL,F_P60_Sal 3,0.7183910256289818
28,P60,Female,SAL,F_P60_Sal 4,0.8749204584497619
29,P60,Female,SAL,F_P60_Sal 5,1.0
30,P60,Male,SAL,M_P60_Sal 5,0.7027124800205166
31,P60,Female,SAL,F_P60_Sal 7,0.67379035652545
32,E18,Female,SAL,F_E18 2,0.04633500026578635
33,E18,Male,SAL,M_E18 2,0.07976560398608151
34,E18,Male,SAL,M_E18 3,0.04967798411445343
35,P14,Male,SAL,M_P14 1,0.533195278504477
36,P14,Male,SAL,M_P14 2,0.4600360830066315
37,P14,Male,SAL,M_P14 3,0.47566682298375884
38,P14,Male,SAL,M_P14 4,0.40830376753539194
39,P14,Male,SAL,M_P14 5,0.3457176722046089
40,P14,Male,SAL,M_P14 6,0.3540125042930671
41,P14,Male,SAL,M_P14 7,0.3618672828498221
42,P14,Male,SAL,M_P14 8,0.5187455562726336
43,P14,Male,SAL,M_P14 9,0.6258704616452472
44,P14,Male,SAL,M_P14 10,0.5464609613768197
45,P4,Female,SAL,F_P4 1,0.20937138272922867
46,P4,Male,SAL,M_P4 2,0.24617398174783017
47,P4,Male,SAL,M_P4 3,0.21739614930551693
48,P4,Male,SAL,M_P4 4,0.31536678170042226
49,P60 + LPS,Male,LPS,M_P60_LPS 1,0.7727702332752225
50,P60 + LPS,Female,LPS,F_P60_LPS 3,0.6947820283705475
51,P60 + LPS,Male,LPS,M_P60_LPS 3,0.937038705427321
52,P60 + LPS,Male,LPS,M_P60_LPS 4,0.6392983511976572
53,P60 + LPS,Male,LPS,M_P60_LPS 5,0.6493538162236049
54,P60 + LPS,Male,LPS,M_P60_LPS 6,0.8127471717966832
55,P60,Male,SAL,M_P60_Sal 1,0.6439969213746197
56,P60,Male,SAL,M_P60_Sal 2,0.7019095650904114
57,P60,Male,SAL,M_P60_Sal 3,0.47712094436547164
58,P60,Male,SAL,M_P60_Sal 4,0.5352959997003879
59,P60,Female,SAL,F_P60_Sal 6,0.5354135593066036
