,Upregulated,Downregulated
0,Taf9b,Scap
1,Tmem204,Ttyh1
2,Ccdc111,Tpm4
3,Zfp738,BC056474
4,Zscan22,Dab2ip
5,Atp8b1,Mpzl1
6,Zfp36l2,Limch1
7,H2-K1,Nat8l
8,Eea1,8430427H17Rik
9,Cltc,Lmna
10,Pid1,Hspa2
11,Senp7,Nup85
12,Zfp619,Epb4.1l1
13,Nlrp1a,Masp2
14,2610008E11Rik,Mars
15,Nuak1,Zc4h2
16,Pik3r6,Atg9a
17,Wapal,Rtn3
18,Hps5,ORF61
19,Zcwpw1,Dnmt3b
20,Iqsec2,Crtc1
21,Arhgap30,Usp22
22,Rsrc2,Git1
23,Mtus1,5730494M16Rik
24,Tceanc,Asap2
25,Asap3,Tacc2
26,Zfp658,Gm347
27,Il4ra,Syne2
28,Whrn,Phactr1
29,Unc13d,Parl
30,Txnip,Rpl34
31,Dock11,Zmiz2
32,Ccdc55,Slc7a6os
33,Ecm2,Zfp251
34,Slc2a9,Armcx6
35,Tgfbrap1,Thoc6
36,1500010J02Rik,Mxi1
37,Osm,11-Sep
38,Prkaa1,Mcart1
39,Dtx3l,BC088983
40,Zfp930,Zfp238
41,Zfp182,AU022252
42,D9Ertd402e,Ehmt1
43,Lipo1,Acd
44,Aim2,Adcy5
45,Zfp187,AI597468
46,Maml2,Wdr91
47,Sp140,Pfdn4
48,Snx13,Utp18
49,Rap1gap2,Rsad1
50,Sp3,Neurl4
51,Kbtbd7,Fam18a
52,Nufip2,Ptprd
53,Dcun1d2,E130308A19Rik
54,Inpp4b,Taf9
55,Cebpz,Cxx1b
56,Zfp62,Fbxo10
57,Cyb5d2,Crls1
58,2700007P21Rik,Brd9
59,Efcab4a,Snx32
60,Ccdc93,Ankrd28
61,LOC547349,Timm9
62,Pja2,Bod1
63,Tapbp,Ddx49
64,Camk2d,Zfp667
65,Ikzf1,Qsox1
66,Trim26,Tmem201
67,Otud7b,Trp53i11
68,Ccdc50,Vegfa
69,Pik3cd,Miip
70,Gm608,Serinc4
71,Zmynd15,Sufu
72,Specc1,Src
73,Smg1,Hmga1
74,Ecscr,Nr2c2ap
75,Dnajb14,Rfxank
76,Fbxo33,Cadm1
77,Zfp597,D4Ertd22e
78,Dnajc25,Snx22
79,Jrkl,Ensa
80,Znfx1,Npnt
81,Nlrc5,Magi1
82,Pnrc1,Atad5
83,Cln5,Zswim5
84,Hk3,Man1b1
85,Phactr2,Mettl17
86,Zfc3h1,Mcat
87,Slc4a7,Ndufs5
88,Spata13,Olfm4
89,Gxylt1,Gsk3a
90,Ddx31,Mrpl41
91,Zfp217,Klhdc9
92,BC013712,Gm166
93,Abcc4,Fam82a2
94,Ttc38,AI846148
95,Bank1,Sdhaf1
96,Gm694,Plekhm2
97,A230046K03Rik,Cln6
98,Itpripl2,Tmem181a
99,D630037F22Rik,C78339
100,Tmem104,Ncbp1
101,Gal3st4,Usp30
102,Jhdm1d,Ttc7b
103,Lrch1,AU021092
104,Tmed8,Fam195b
105,Kcnk6,Mettl21d
106,Layn,Cblb
107,Acsl6,Plekhg1
108,Evi2a,Ccdc109a
109,Mef2a,Tmem55b
110,I830077J02Rik,5031439G07Rik
111,Ube3a,Spryd3
112,BC096441,D17Wsu92e
113,Fam134b,Uap1l1
114,Golm1,Shb
115,St3gal5,Pdap1
116,Zfp748,Ccdc61
117,Nrbf2,Tmem231
118,Nacc2,BC023829
119,Slc41a3,Arhgef9
120,Adam15,Gas2l3
121,Adcy7,Ralgapa2
122,Arhgap25,Klhl21
123,Prps1l3,Zfp568
124,Card9,Fubp3
125,Sgk3,Alg10b
126,Cnot2,Zfp408
127,Csf1r,Pdp1
128,Atp11c,Atxn7l3b
129,Deptor,Iqgap3
130,Clec5a,Pgap3
131,Ets1,Acsl3
132,Zfp953,Ifitm6
133,Gngt2,Sorbs1
134,Gpr146,Xpo1
135,Atp8a1,Ap2b1
136,Kctd21,Ccne2
137,Mier1,Tomm40l
138,Sel1l,Rusc2
139,Zkscan4,Brms1l
140,Scoc,ORF19
141,Bicd2,Btrc
142,Cep350,Tcf25
143,Gmfg,Dhrs4
144,Zfp951,Dyrk1b
145,Wdr37,Grk6
146,4933421E11Rik,Anapc11
147,Plekhm3,Banf1
148,Dnm2,Glrx2
149,Parp14,Txnl4a
150,Edem3,Dnm3
151,Iffo1,Gng2
152,Arhgap12,Slc16a3
153,Zfp869,Elavl4
154,Arap1,Ccdc23
155,2810407C02Rik,Pigc
156,Filip1l,Tom1l2
157,Tet2,Asb1
158,Rap1gds1,Hnrnpa1
