,age,tx,sex,sample_name,index
0,E18,SAL,F,F_E18 1,0.22071937322183
1,E18,SAL,F,F_E18 2,0.1502655480245078
2,E18,SAL,F,F_E18 3,0.21753527968566763
3,E18,SAL,F,F_E18 4,0.0
4,P14,SAL,F,F_P14 1,0.5355973702996744
5,P14,SAL,F,F_P14 2,0.5354133696636
6,P14,SAL,F,F_P14 3,0.4941066919520642
7,P14,SAL,F,F_P14 4,0.536822002037227
8,P14,SAL,F,F_P14 5,0.4224553658331004
9,P14,SAL,F,F_P14 6,0.5142918562452553
10,P14,SAL,F,F_P14 7,0.5424250513609103
11,P14,SAL,F,F_P14 8,0.6833943999040426
12,P14,SAL,F,F_P14 9,0.6255851136574522
13,P14,SAL,F,F_P14 10,0.6482016577021781
14,P4,SAL,F,F_P4 1,0.3338917308859252
15,P4,SAL,F,F_P4 2,0.4044290128068815
16,P4,SAL,F,F_P4 3,0.4032785782955661
17,P4,SAL,F,F_P4 4,0.41366871649281317
18,P60,LPS,F,F_P60_LPS 1,0.8722569700413826
19,P60,LPS,F,F_P60_LPS 2,0.7362536554035687
20,P60,LPS,F,F_P60_LPS 3,0.9798418101074375
21,P60,LPS,F,F_P60_LPS 4,0.6577133999124107
22,P60,LPS,F,F_P60_LPS 5,0.7011223596772934
23,P60,LPS,F,F_P60_LPS 6,0.6662546423460788
24,P60,LPS,F,F_P60_LPS 8,0.8655611841402753
25,P60,SAL,F,F_P60_Sal 1,0.813173407491302
26,P60,SAL,F,F_P60_Sal 2,0.7644807628048842
27,P60,SAL,F,F_P60_Sal 3,0.7611399067654232
28,P60,SAL,F,F_P60_Sal 4,0.8664015207103157
29,P60,SAL,F,F_P60_Sal 5,0.9938913553240514
30,P60,SAL,F,F_P60_Sal 6,0.7572579450157102
31,P60,SAL,F,F_P60_Sal 7,0.7476044288858149
32,E18,SAL,M,M_E18 1,0.1359123269968902
33,E18,SAL,M,M_E18 2,0.1857055973005909
34,E18,SAL,M,M_E18 3,0.13509015664081334
35,P14,SAL,M,M_P14 1,0.6399671750219444
36,P14,SAL,M,M_P14 2,0.5688746906976724
37,P14,SAL,M,M_P14 3,0.5837344096718794
38,P14,SAL,M,M_P14 4,0.5296041346858712
39,P14,SAL,M,M_P14 5,0.47442442998873485
40,P14,SAL,M,M_P14 6,0.4771763213468478
41,P14,SAL,M,M_P14 7,0.48828435961148003
42,P14,SAL,M,M_P14 8,0.6247524750686183
43,P14,SAL,M,M_P14 9,0.7004125016342767
44,P14,SAL,M,M_P14 10,0.6355890363268942
45,P4,SAL,M,M_P4 1,0.35400409510422864
46,P4,SAL,M,M_P4 2,0.3886264669852331
47,P4,SAL,M,M_P4 3,0.35986087091217284
48,P4,SAL,M,M_P4 4,0.4505669651262276
49,P60,LPS,M,M_P60_LPS 1,0.8228971281909695
50,P60,LPS,M,M_P60_LPS 2,0.7683318050207594
51,P60,LPS,M,M_P60_LPS 3,1.0
52,P60,LPS,M,M_P60_LPS 4,0.7409927588815959
53,P60,LPS,M,M_P60_LPS 5,0.7445657886760296
54,P60,LPS,M,M_P60_LPS 6,0.8467645383887158
55,P60,SAL,M,M_P60_Sal 1,0.7206789069343932
56,P60,SAL,M,M_P60_Sal 2,0.768596223767484
57,P60,SAL,M,M_P60_Sal 3,0.6215341892910909
58,P60,SAL,M,M_P60_Sal 4,0.6506345324180614
59,P60,SAL,M,M_P60_Sal 5,0.684613226356284
