,gene,direction,valence
3411,Mag,UP,4.582965570371295
1112,Ccr5,UP,4.133767079029643
3054,Itgb3,UP,3.945347093954389
6436,Txnip,UP,3.6936393822040334
6437,Txnip,UP,3.5890737064696716
6141,Tmem173,UP,3.5284122338562467
5062,Rnase4,UP,3.460191819029135
2587,Gpr160,UP,3.4589418640021896
6176,Tmem63a,UP,3.4416395453415483
2437,Gem,UP,3.386353945385172
1340,Cmtm6,UP,3.3698010229545714
2129,Fam105a,UP,3.3584063473748387
991,Cables1,UP,3.2782386339776384
2909,Ier5,UP,3.2746294409126833
1870,Dusp6,UP,3.2739196664794603
2497,Gm15441,UP,3.253022151255321
1136,Cd33,UP,3.248166159102226
5338,Serinc3,UP,3.2158275855539062
2957,Il16,UP,3.192064260420046
1137,Cd33,UP,3.182752121575338
2591,Gpr34,UP,3.1686866847191517
544,Anxa3,UP,3.1532881087707216
2854,Hpgd,UP,3.1463527334663945
2922,Ifngr1,UP,3.1302512521995
2130,Fam105a,UP,3.121647558968754
2966,Il21r,UP,3.114577291874285
5420,Siglech,UP,3.038730227756825
210,5031414D18Rik,UP,3.033593597968751
5061,Rnase4,UP,3.032018235592916
5367,Sft2d2,UP,3.0293453548219658
6119,Tmem119,UP,3.0284457867114027
2253,Fcgr2b,UP,3.002006670560509
426,Agmo,UP,2.99479499522496
1392,Commd8,UP,2.970770833149833
6642,Vrk2,UP,2.9609697225602933
1489,Csmd3,UP,2.958696977631228
4116,Olfml3,UP,2.949816328058316
184,4632428N05Rik,UP,2.9290110982228295
6308,Trf,UP,2.9045116706678162
691,Arrb2,UP,2.901610613982779
1537,Ctss,UP,2.901036260770946
5661,Snx5,UP,2.8947363492668363
5017,Rgs10,UP,2.8914050959481417
4461,Pla2g4a,UP,2.885597671326959
5071,Rnf13,UP,2.877879059098517
2441,Gfm2,UP,2.8687024532464256
739,Atf3,UP,2.865456309226109
4171,Padi2,UP,2.854908504425476
322,Abi3,UP,2.8488649749066988
2750,Hexb,UP,2.8465218411361706
183,4632428N05Rik,UP,2.8305968628720284
2802,Hmga2-ps1,UP,2.8254055318247495
1096,Ccl3,UP,2.811702158145226
2254,Fcgr3,UP,2.7980151445423997
3108,Kcnk13,UP,2.782966592332298
2252,Fcgr2b,UP,2.752347678780695
1847,Dram2,UP,2.7486004616844832
5531,Slc37a2,UP,2.72456755627313
6902,Zfp691,UP,2.7230537859383053
2482,Glul,UP,2.6954490037960896
1134,Cd302,UP,2.6806455636226523
6467,Uba7,UP,2.653325921865541
2879,Hspa1a,UP,2.64976031771656
3863,Ncf1,UP,2.6464291979170538
