,age,sex,tx,sample_name,index
0,E18,Female,SAL,F_E18 1,0.10047019550820363
1,E18,Male,SAL,M_E18 1,0.052876405070142345
2,E18,Female,SAL,F_E18 3,0.09989238159119233
3,E18,Male,SAL,M_E18 4,0.0
4,P14,Female,SAL,F_P14 1,0.4069551490461375
5,P14,Female,SAL,F_P14 2,0.4130897276985595
6,P14,Female,SAL,F_P14 3,0.357698593019492
7,P14,Female,SAL,F_P14 4,0.4177993853123157
8,P14,Female,SAL,F_P14 5,0.277600588173022
9,P14,Female,SAL,F_P14 6,0.38066161546884036
10,P14,Female,SAL,F_P14 7,0.41712706910930764
11,P14,Female,SAL,F_P14 8,0.6135568936951071
12,P14,Female,SAL,F_P14 9,0.5312502861111724
13,P14,Female,SAL,F_P14 10,0.5638390549272433
14,P4,Male,SAL,M_P4 1,0.18105330995393198
15,P4,Female,SAL,F_P4 2,0.25803971501882905
16,P4,Female,SAL,F_P4 3,0.25885683993654757
17,P4,Female,SAL,F_P4 4,0.26772465200594187
18,P60 + LPS,Female,LPS,F_P60_LPS 1,0.8303053635703577
19,P60 + LPS,Female,LPS,F_P60_LPS 2,0.599792000478976
20,P60 + LPS,Male,LPS,M_P60_LPS 2,0.9480381515605089
21,P60 + LPS,Female,LPS,F_P60_LPS 4,0.5499138890778135
22,P60 + LPS,Female,LPS,F_P60_LPS 5,0.6075352429836334
23,P60 + LPS,Female,LPS,F_P60_LPS 6,0.5767588101986253
24,P60 + LPS,Male,LPS,M_P60_LPS 7,0.825250645719734
25,P60,Female,SAL,F_P60_Sal 1,0.7701408812387343
26,P60,Female,SAL,F_P60_Sal 2,0.7135798142845708
27,P60,Female,SAL,F_P60_Sal 3,0.7182972302348701
28,P60,Female,SAL,F_P60_Sal 4,0.8691036328835039
29,P60,Female,SAL,F_P60_Sal 5,1.0
30,P60,Male,SAL,M_P60_Sal 5,0.6999083131622703
31,P60,Female,SAL,F_P60_Sal 7,0.6585517838018965
32,E18,Female,SAL,F_E18 2,0.04566078208681569
33,E18,Male,SAL,M_E18 2,0.07748907986604432
34,E18,Male,SAL,M_E18 3,0.047869618274109814
35,P14,Male,SAL,M_P14 1,0.5311863297771825
36,P14,Male,SAL,M_P14 2,0.4556508235461581
37,P14,Male,SAL,M_P14 3,0.4731529548179016
38,P14,Male,SAL,M_P14 4,0.40501010602109744
39,P14,Male,SAL,M_P14 5,0.3471098624765383
40,P14,Male,SAL,M_P14 6,0.35475068606302596
41,P14,Male,SAL,M_P14 7,0.3594810623728701
42,P14,Male,SAL,M_P14 8,0.5280590842878596
43,P14,Male,SAL,M_P14 9,0.6313712115779323
44,P14,Male,SAL,M_P14 10,0.548670061882007
45,P4,Female,SAL,F_P4 1,0.20287916217473562
46,P4,Male,SAL,M_P4 2,0.24118380633890799
47,P4,Male,SAL,M_P4 3,0.21278240296609874
48,P4,Male,SAL,M_P4 4,0.31560358335544825
49,P60 + LPS,Male,LPS,M_P60_LPS 1,0.7577018656083774
50,P60 + LPS,Female,LPS,F_P60_LPS 3,0.6933288735944768
51,P60 + LPS,Male,LPS,M_P60_LPS 3,0.9098264299834216
52,P60 + LPS,Male,LPS,M_P60_LPS 4,0.6182039975733667
53,P60 + LPS,Male,LPS,M_P60_LPS 5,0.6440662884105988
54,P60 + LPS,Male,LPS,M_P60_LPS 6,0.8143183134320517
55,P60,Male,SAL,M_P60_Sal 1,0.6321354733811995
56,P60,Male,SAL,M_P60_Sal 2,0.7140400726346205
57,P60,Male,SAL,M_P60_Sal 3,0.46678241072263815
58,P60,Male,SAL,M_P60_Sal 4,0.5291561497584039
59,P60,Female,SAL,F_P60_Sal 6,0.5347595168200915
