level_0,level_1,level_2,level_3,scaled_index,unscaled_index
E18,Female,SAL,F_E18 1,0.074341202,0.080525603
E18,Male,SAL,M_E18 1,0.039307374,0.037482595
E18,Female,SAL,F_E18 3,0.069697376,0.074944778
E18,Male,SAL,M_E18 4,0,0
P14,Female,SAL,F_P14 1,0.362481138,0.422925829
P14,Female,SAL,F_P14 2,0.356922756,0.4308267
P14,Female,SAL,F_P14 3,0.290846997,0.363074162
P14,Female,SAL,F_P14 4,0.382989107,0.436920691
P14,Female,SAL,F_P14 5,0.248251987,0.276526551
P14,Female,SAL,F_P14 6,0.336163561,0.384981494
P14,Female,SAL,F_P14 7,0.373805094,0.412629276
P14,Female,SAL,F_P14 8,0.555773227,0.627069004
P14,Female,SAL,F_P14 9,0.496793964,0.564937619
P14,Female,SAL,F_P14 10,0.507446801,0.565371749
P4,Male,SAL,M_P4 1,0.140371205,0.153019568
P4,Female,SAL,F_P4 2,0.209405748,0.242101051
P4,Female,SAL,F_P4 3,0.19952046,0.2377271
P4,Female,SAL,F_P4 4,0.207501756,0.222610776
P60 + LPS,Female,LPS,F_P60_LPS 1,0.786261507,0.823823667
P60 + LPS,Female,LPS,F_P60_LPS 2,0.567680805,0.584038662
P60 + LPS,Male,LPS,M_P60_LPS 2,0.901647987,0.879556953
P60 + LPS,Female,LPS,F_P60_LPS 4,0.519796633,0.642317377
P60 + LPS,Female,LPS,F_P60_LPS 5,0.573453385,0.642851523
P60 + LPS,Female,LPS,F_P60_LPS 6,0.561170922,0.594147502
P60 + LPS,Male,LPS,M_P60_LPS 7,0.775362425,0.836807776
P60,Female,SAL,F_P60_Sal 1,0.705967968,0.796530131
P60,Female,SAL,F_P60_Sal 2,0.696270176,0.775664786
P60,Female,SAL,F_P60_Sal 3,0.653645631,0.751492437
P60,Female,SAL,F_P60_Sal 4,0.842702056,0.88326511
P60,Female,SAL,F_P60_Sal 5,1,1
P60,Male,SAL,M_P60_Sal 5,0.659792229,0.718118969
P60,Female,SAL,F_P60_Sal 7,0.634407036,0.673648731
E18,Female,SAL,F_E18 2,0.036786403,0.036771482
E18,Male,SAL,M_E18 2,0.052366986,0.055208135
E18,Male,SAL,M_E18 3,0.038099604,0.032182522
P14,Male,SAL,M_P14 1,0.505426109,0.520020932
P14,Male,SAL,M_P14 2,0.397275357,0.45875889
P14,Male,SAL,M_P14 3,0.406422494,0.475427509
P14,Male,SAL,M_P14 4,0.358694701,0.40418789
P14,Male,SAL,M_P14 5,0.294195316,0.363124421
P14,Male,SAL,M_P14 6,0.300787352,0.357353443
P14,Male,SAL,M_P14 7,0.314504367,0.360628909
P14,Male,SAL,M_P14 8,0.495700112,0.560478402
P14,Male,SAL,M_P14 9,0.603885288,0.640585319
P14,Male,SAL,M_P14 10,0.510471347,0.568454263
P4,Female,SAL,F_P4 1,0.160609344,0.18096091
P4,Male,SAL,M_P4 2,0.189149393,0.218321158
P4,Male,SAL,M_P4 3,0.172501747,0.196037775
P4,Male,SAL,M_P4 4,0.250962896,0.29595221
P60 + LPS,Male,LPS,M_P60_LPS 1,0.708836459,0.763689533
P60 + LPS,Female,LPS,F_P60_LPS 3,0.63580548,0.742676077
P60 + LPS,Male,LPS,M_P60_LPS 3,0.822253339,0.736426726
P60 + LPS,Male,LPS,M_P60_LPS 4,0.58299046,0.595870784
P60 + LPS,Male,LPS,M_P60_LPS 5,0.594280272,0.682686963
P60 + LPS,Male,LPS,M_P60_LPS 6,0.764671247,0.837821813
P60,Male,SAL,M_P60_Sal 1,0.588526784,0.641112503
P60,Male,SAL,M_P60_Sal 2,0.674640057,0.806612799
P60,Male,SAL,M_P60_Sal 3,0.444618857,0.50366633
P60,Male,SAL,M_P60_Sal 4,0.508317562,0.580900608
P60,Female,SAL,F_P60_Sal 6,0.517038532,0.541028134
