gene,direction,valence
Prlr,UP,9.459870691789574
Upk1b,UP,8.01678508705779
Mlph,UP,7.51861952689463
Olfr558,UP,7.269764693643097
Cox8b,UP,7.225405963665963
Tgtp2,UP,6.655540816003636
Tgtp1,UP,6.646681557752783
Tmem119,UP,6.5151582931735295
Tmem173,UP,6.367726529516229
Ccr1l1,UP,6.175469487401827
Csmd3,UP,6.131240618798207
Bco2,UP,6.02412458559026
Ccr5,UP,5.744685761032595
Gm13293,UP,5.693224407898475
Pln,UP,5.53940607788828
Selplg,UP,5.53736440024538
5031414D18Rik,UP,5.438939325138501
Slco4a1,UP,5.421040253465101
Gal3st4,UP,5.391364989934899
Olfr574,UP,5.303975855202158
P2ry13,UP,5.229854187675401
Acnat1,UP,5.222126561818464
Adrb2,UP,5.171407423896046
Gpr165,UP,5.165390396898658
Gm10790,UP,5.164874989169211
Cmya5,UP,5.147260705101462
Rhoh,UP,5.133192442857848
Tmem8c,UP,5.115141089154203
Cysltr1,UP,5.098037985708155
Gpr34,UP,5.0977316754739315
Kl,UP,5.042333104785729
Gzmc,UP,5.023928863297985
Angptl7,UP,5.016135103307026
Gngt2,UP,5.010999222442025
Enpp2,UP,4.986266048063015
Hpgd,UP,4.982541190076057
Ccl3,UP,4.976198792732549
Cfhr2,UP,4.950216508559387
Fam105a,UP,4.920533501505217
Tnfsf13b,UP,4.91734578980471
Btg2,UP,4.880977263851753
Ccl4,UP,4.861730559763521
Cst3,UP,4.836771279621306
Gna15,UP,4.814980412674696
8030442B05Rik,UP,4.814218532565983
P2ry12,UP,4.8126716467310775
Il17re,UP,4.805983338226641
Osm,UP,4.805479074289296
Hspa1a,UP,4.804759657887734
Gm19705,UP,4.80474549187508
Rnase10,UP,4.78891748215132
Padi2,UP,4.782284750893019
Gm6583,UP,4.778545248970673
Hspa1b,UP,4.757677674265816
Il7r,UP,4.756043305183529
Txnip,UP,4.742798780380106
Cysltr2,UP,4.721368263274808
D7Ertd443e,UP,4.719180003369169
Leprel1,UP,4.697181462487611
Cacna1s,UP,4.697013569119146
Adora3,UP,4.692903139778765
Fmo2,UP,4.690963765306558
Sec14l4,UP,4.688445024987891
Slc2a5,UP,4.687935836391321
Zfp691,UP,4.686592095012972
Rs1,UP,4.685192268224643
H2-Eb1,UP,4.675758034583137
Mlxipl,UP,4.668892840608597
Myl2,UP,4.659567235116358
Olfr78,UP,4.656039889018003
Rgs10,UP,4.654237409931585
0610040J01Rik,UP,4.633121280866445
Hspb3,UP,4.573624340635501
H2-DMb1,UP,4.570910239800186
Ctss,UP,4.568816019806889
Gm4070,UP,4.5569766395813565
Gvin1,UP,4.5569766395813565
Lpxn,UP,4.554760876683472
Gcnt1,UP,4.5435748080264995
Tifa,UP,4.536238568872725
Cd48,UP,4.530006171400577
Fam70b,UP,4.5252861442859205
Cytl1,UP,4.518029266851474
Lair1,UP,4.511033577713165
Abi3,UP,4.502826072664538
Col6a6,UP,4.502306951953766
Gm4814,UP,4.486171115453644
Lrrc3,UP,4.485826469850891
Abhd15,UP,4.474880821347064
Clec4a2,UP,4.471748278688636
Hmga2-ps1,UP,4.457006253918588
AW112010,UP,4.428671726940832
Pvrl4,UP,4.428217579247173
9930111J21Rik1,UP,4.413536410122709
Capn3,UP,4.406279309307241
Slamf6,UP,4.404442697647011
Hexb,UP,4.4040004032218905
