gene,direction,valence
Ccr5,UP,6.761404940357816
Tmem119,UP,6.390175666975293
Csmd3,UP,6.204182107318591
Tmem173,UP,5.817098293762347
5031414D18Rik,UP,5.750001017676158
Gpr34,UP,5.728128919720238
Selplg,UP,5.680076678072639
P2ry13,UP,5.534675308896282
Bco2,UP,5.510947405089061
Adrb2,UP,5.462170261264723
Gm10790,UP,5.443766051063628
Mlxipl,UP,5.365280966412508
Siglece,UP,5.351008038627826
Gpr165,UP,5.332726545091436
Txnip,UP,5.254238725007714
Slc2a5,UP,5.2450189311605016
Crlf3,UP,5.233433576887721
Gm15441,UP,5.226996885442599
Gna15,UP,5.118570986060153
Cmtm6,UP,5.117095818158286
Leprel1,UP,5.1115746333083125
Abi3,UP,5.0347065443941466
P2ry12,UP,4.9765500602032935
Padi2,UP,4.97208528722396
Hpgd,UP,4.937574842053777
4632428N05Rik,UP,4.913576352597079
Serinc3,UP,4.9097037593876705
Lair1,UP,4.89535739600247
Agmo,UP,4.890782528936468
Gem,UP,4.871648736030855
Il21r,UP,4.839185805102218
Hspa1a,UP,4.8081623897281265
Enpp2,UP,4.803376661303252
Rhoh,UP,4.7658971719830365
Olfml3,UP,4.764885410705326
Pvrl4,UP,4.762132282292191
Il16,UP,4.759490240216963
Cysltr1,UP,4.757924174843664
Hspa1b,UP,4.750653821370932
Ctss,UP,4.750266242438608
Gcnt1,UP,4.734706974684856
Gal3st4,UP,4.7165265587216725
Capn3,UP,4.6924638989400025
Il10ra,UP,4.669833670001097
Gfm2,UP,4.638898226764489
Fam105a,UP,4.6095320937915245
Rgs1,UP,4.59675797883623
H2-Eb1,UP,4.581252654944081
Slamf6,UP,4.553934499630543
Rnase4,UP,4.550557852738111
Zfp691,UP,4.522671465338112
Siglech,UP,4.4928289665773535
Fcgr2b,UP,4.488623543527188
Hexb,UP,4.4762912944964155
Ccl3,UP,4.462638634254314
Stk17b,UP,4.4523084306580305
Fam46c,UP,4.431732684531936
E230029C05Rik,UP,4.412809145240449
Adora3,UP,4.408948953056513
Il1a,UP,4.404984947584197
Fcgr3,UP,4.354449416760239
Gm14023,UP,4.350711482154165
Tifab,UP,4.346692731405134
Mylip,UP,4.328720986814444
Osm,UP,4.313744332213773
Gpr183,UP,4.309735594228534
Gtf2h2,UP,4.3089952994194425
Gngt2,UP,4.3011934203676105
Kcnk6,UP,4.269743385808542
Rgs10,UP,4.264147741485553
Tmem63a,UP,4.261132588675693
5430427O19Rik,UP,4.252237244635553
Fcgr1,UP,4.2470136256750255
Cst3,UP,4.2423527674297254
H2-DMa,UP,4.238567344267907
Pla2g4a,UP,4.237909498437159
Ccl4,UP,4.237550249358526
Ikzf1,UP,4.228852746855799
Card6,UP,4.212887176928981
0610040J01Rik,UP,4.204621013763864
Gsdmd,UP,4.200105612809845
Anxa3,UP,4.199477701048053
Rnf130,UP,4.196293809777752
I830077J02Rik,UP,4.193201528533738
Cables1,UP,4.1753997335517
Cd33,UP,4.173879757239159
Cd74,UP,4.161812962608273
Gpr155,UP,4.15666957475945
Oma1,UP,4.1284152710131075
Sgk1,UP,4.114467952976055
Rnf13,UP,4.103324606298209
Sft2d2,UP,4.100188227355335
Cmklr1,UP,4.083244155671598
Gpr160,UP,4.064802756960491
Nfkbid,UP,4.052977569221849
Hmga2-ps1,UP,4.047044617179981
Ifngr1,UP,4.031674664852625
Btg2,UP,4.026619207786563
Ccrl2,UP,4.01471034628356
Zfp36,UP,4.012865256966241
Glul,UP,4.012378848392772
Dusp6,UP,4.004332858323869
Lpxn,UP,3.98959352066874
Gm4980,UP,3.9875977937116254
Creg1,UP,3.9860553561026633
St3gal6,UP,3.9677959722101273
Tlr3,UP,3.963669901657716
Bhlhe41,UP,3.943842979812325
H2-Ob,UP,3.943832832638254
Hnmt,UP,3.9317892226640914
Atf3,UP,3.930610058619801
Commd8,UP,3.911105078063566
Tlr13,UP,3.899805147087809
Fcrl1,UP,3.8781399786352964
H2-DMb1,UP,3.8699332353120663
Cd48,UP,3.8598073276553575
Maob,UP,3.859080464317458
Itgb3,UP,3.850098526300187
Tifa,UP,3.849252481266474
Nlrp1b,UP,3.8368052167713875
Alox5ap,UP,3.824283561193867
Irgm2,UP,3.8081511793630667
Ppcdc,UP,3.806120220614318
Sall1,UP,3.8038675351230777
Atp6v0a2,UP,3.795482696252853
Kcnj2,UP,3.792409078158471
Ifi27l1,UP,3.780468317112472
H2-Aa,UP,3.7780631443959196
Tlr7,UP,3.768906766216683
Samsn1,UP,3.76693426311624
Cd53,UP,3.7668504449893634
Dock10,UP,3.761707421834312
Icosl,UP,3.7561129617968887
Serpine1,UP,3.7357735868343616
Itgb5,UP,3.7305810942151245
Kcnk13,UP,3.7215306536202153
Cd302,UP,3.7202138015403894
Trf,UP,3.7196968777373036
Arhgap22,UP,3.7191164388746074
Sash3,UP,3.711283424237229
Ier5,UP,3.6998835466384388
Tgfbr1,UP,3.699430654581248
Mafb,UP,3.694221477391442
Hk2,UP,3.6922186151651943
Ptgs1,UP,3.68656194584003
Pik3cg,UP,3.683701826238684
Sla,UP,3.679776740574632
Clec5a,UP,3.6717091722263393
Gpr77,UP,3.6606437658821744
Rgs19,UP,3.6457160724670383
Adap2,UP,3.6432441022985698
Steap2,UP,3.6406885110822613
Cx3cr1,UP,3.640232830424138
Phospho1,UP,3.6333058717271824
H2-K1,UP,3.6273002147764934
AF251705,UP,3.6219223137224166
Ly6a,UP,3.611485763316881
Fam102b,UP,3.607352019108531
Cd37,UP,3.606087670357928
Il10rb,UP,3.601397659451419
Fam72a,UP,3.593384620165393
F9,UP,3.5917115247462092
Vrk2,UP,3.5890141084333593
Ang,UP,3.5824559657943906
Lpar6,UP,3.5824128792712573
F5,UP,3.5679339685003586
Mertk,UP,3.563625898785984
Slco2b1,UP,3.562714873893657
Iffo1,UP,3.5592575735447105
Pla2g15,UP,3.5574633102778352
Clec4a2,UP,3.5382862004314055
Ncf1,UP,3.537387226928486
Stambpl1,UP,3.5356703076918863
Chdh,UP,3.531910808757665
Cnr2,UP,3.52897414758727
Rgs2,UP,3.5183759531525594
1-Mar,UP,3.5123897754007833
Irf8,UP,3.498000146678472
Daglb,UP,3.497003493597047
Plk3,UP,3.493899949695323
Trim12a,UP,3.4918676509429685
A830007P12Rik,UP,3.487219635972755
B2m,UP,3.4812801789136825
Herpud1,UP,3.4703421322691135
Rab3il1,UP,3.4640733549790044
Aox1,UP,3.4627822886424413
Hspb1,UP,3.4559370964074554
Kcnd1,UP,3.453511047365154
Susd3,UP,3.453155059429585
Map2k1,UP,3.4499430780863523
Abcc3,UP,3.446990465907014
Csf3r,UP,3.4434173757692124
Tnfaip8l2,UP,3.4306753158284353
Ppfia4,UP,3.4280914610532753
Dram2,UP,3.4234277433172373
Havcr2,UP,3.416430583229342
Xlr,UP,3.4156353075610517
Jun,UP,3.414213099906353
Lat2,UP,3.4139070849237023
B230378P21Rik,UP,3.4112788140092114
Ly96,UP,3.4056277130542134
2010015L04Rik,UP,3.4055194836950644
Mgat4a,UP,3.3997965427589496
Acer3,UP,3.392361272194644
Itgam,UP,3.3912621849002034
Clec4a3,UP,3.389612486380356
Rasal3,UP,3.374046620001085
Obfc2a,UP,3.3726003991640683
Col27a1,UP,3.3642776756764956
Mir5107,UP,3.3481053609570437
G530011O06Rik,UP,3.339237979351625
1810011H11Rik,UP,3.3371521588205493
Rhob,UP,3.333864541853598
Nfkbiz,UP,3.3308585852662804
Trim30d,UP,3.329311656726893
Cd84,UP,3.3203393494427442
Slc25a37,UP,3.317311123098539
B3galt5,UP,3.3146756911709168
Phyhd1,UP,3.3127398511185104
Egr1,UP,3.3062626054405504
Cyp27a1,UP,3.2881364715610277
Capza2,UP,3.28530442496181
Tap2,UP,3.283356671391714
Hps3,UP,3.280117886614227
Plxdc1,UP,3.2781563946267838
Pag1,UP,3.265475802646092
Naip2,UP,3.2627770644042817
Igtp,UP,3.255003551967071
Tnfrsf17,UP,3.25199944607522
Sgce,UP,3.2505052866394264
Hhex,UP,3.247430259061202
Slamf9,UP,3.245238562184659
Itgb2,UP,3.2426690665885376
Abca9,UP,3.2422894485805305
Fez2,UP,3.239852942942387
Tnfaip3,UP,3.2085627379805044
Il17ra,UP,3.2067324536771347
Card9,UP,3.205930523207068
Akr1b10,UP,3.1997156283845047
Zfp839,UP,3.1822558131302103
A530088E08Rik,UP,3.1499512345517284
Nfam1,UP,3.1488100425792815
Il1b,UP,3.142797077461017
Naalad2,UP,3.142530262926176
Tubgcp5,UP,3.1354972031000994
Chst7,UP,3.1351477796075873
