,Upregulated,Downregulated
0,Creld2,Snx7
1,Atxn3,Dapk1
2,Spcs3,Tmem101
3,Stambpl1,Gpr172b
4,Txndc11,Commd9
5,Tmem59,Ip6k2
6,Ndfip2,Fam65b
7,0610040J01Rik,Srxn1
8,Msrb2,Rab1b
9,Prss23,Kti12
10,Slamf9,Tsen54
11,Abcc3,Glt8d1
12,Mospd2,Lhpp
13,Ptgr2,Tbcd
14,A930001N09Rik,Hnrnpa0
15,Gpbp1l1,5930434B04Rik
16,Arsk,Cnrip1
17,Rgs7bp,Bcl7a
18,Ptprb,Hgsnat
19,Irak4,Fam115a
20,Mbd5,Wdr82
21,C330018D20Rik,Raf1
22,Gabpb2,Rps9
23,Polr3f,Hyls1
24,Sdccag8,Bri3bp
25,Cog2,Rpl18a
26,Tbc1d9b,2510006D16Rik
27,Slc10a7,Klhdc10
28,Scfd1,Dcun1d5
29,Lass2,Arfip2
30,Tti1,Cyb5r3
31,Cklf,Ndufs7
32,Fpgt,Mrpl32
33,Pibf1,Phpt1
34,Etnk1,Qtrtd1
35,Scamp1,Pelp1
36,Tmx4,Pwp2
37,Rnf19b,4930402H24Rik
38,Akap13,Them4
39,Vmp1,Adal
40,Gpr165,Snrnp35
41,Zdhhc20,Gpsm2
42,Gns,Ttpal
43,2310035C23Rik,9130401M01Rik
44,Zbtb4,Med25
45,Fam35a,Chmp4b
46,Ctns,2810422J05Rik
47,Tgfa,1700029F09Rik
48,Trem2,Mff
49,Gtf2a1,Pih1d1
50,Pik3ap1,Lamtor2
51,Plekha2,Tsta3
52,Siglece,Msr1
53,Sf3b1,Slc22a8
54,Tbl1xr1,Akap12
55,Nckipsd,Glis2
56,Acox3,Wdr6
57,Gpr84,Ngrn
58,Hspa8,Gatsl2
59,Sgpp1,Dtx3
60,Slamf6,Id4
61,Dock2,Rnf114
62,Copb1,Ppp1r16a
63,Cnnm4,Loxl2
64,Vps37a,Dgcr8
65,D17H6S53E,E2f6
66,Ghdc,Srebf2
67,Prkab1,Snurf
68,Slmap,8-Sep
69,Erap1,Nudt19
70,Trappc6b,Jmjd6
71,Gpr108,Snf8
72,Acap2,Klf7
73,Golgb1,Eif4h
74,Tmem50b,Ubqln4
75,Ccdc76,Spred2
76,Cryl1,Tnk1
77,Pigh,Ppp1ca
78,N4bp1,Cenpq
79,Cwc22,Smarcd1
80,Slc19a3,H2afv
81,Parp9,Zfp687
82,Fcrls,Mospd3
83,Niacr1,Mrpl9
84,Lrba,Sf3b2
85,Sacm1l,Mrps5
86,Igsf6,Mmab
87,Slco1a4,Snapc3
88,Trim34a,Smpd4
89,Nfkbiz,Apex2
90,Nus1,Cdkn2aipnl
91,Hspa13,Mccc2
92,Mctp1,Lbh
93,Csgalnact2,Lrrc42
94,Sfi1,Sla2
95,Manf,Trim35
96,Zfp654,Nbea
97,Fundc1,Rnf34
98,Cyb5r1,Vps16
99,Tmco6,Pofut2
100,Slc39a4,Rilpl2
101,Cnpy3,Tusc3
102,Tmem68,Mesdc1
103,Zdhhc13,Ifitm2
104,Paqr7,Gys1
105,Tmem106b,BC003266
106,Coq2,Nol3
107,Acsl5,Tada1
108,Rnf135,Setd8
109,Endod1,2900092E17Rik
110,Tom1l1,Abcg3
111,Lrpprc,Saal1
112,Pinx1,Polr3h
113,Cyth4,Wrnip1
114,Pan3,Aacs
115,Zufsp,Rrp7a
116,Naalad2,Fbxo22
117,Tmem173,Sepn1
118,Tmem87b,Cnn3
119,Prcp,Ercc8
120,Strada,Ddx54
121,Ddb2,Trmu
122,Scaf11,Jmjd8
123,Ndufab1,Mettl10
124,Tram1,Tmub2
125,Tbc1d5,Sulf2
126,Fbxl20,2310003H01Rik
127,Otud1,Ppapdc1b
128,Nipbl,Nkiras2
129,Oxsm,Cdca4
130,Ankrd40,Cpsf3l
