gene,direction,valence
mag,UP,4.582965570371295
tmem63a,UP,3.4416395453415483
ier5,UP,3.2746294409126833
dusp6,UP,3.2739196664794603
serinc3,UP,3.2158275855539062
ifngr1,UP,3.1302512521995
rgs10,UP,2.8914050959481417
rnf13,UP,2.8782492171422427
hexb,UP,2.8465218411361706
lair1,UP,2.6781921874939263
capn3,UP,2.6760954549038107
cd74,UP,2.6579599293979363
snx5,UP,2.6467777791570573
creg1,UP,2.6281510586901975
asah1,UP,2.5571944785667187
ppt1,UP,2.5249743226250514
lactb2,UP,2.5131521067225133
st3gal6,UP,2.508264715471108
btg2,UP,2.505275587390631
alox5ap,UP,2.4866407273012032
cst3,UP,2.475245892267321
rnf130,UP,2.4682037964384347
ifnar2,UP,2.434908583873443
herpud1,UP,2.4328973627687094
fez2,UP,2.4275575500099213
zfp36,UP,2.3819488734832595
lpxn,UP,2.3646009438149114
itgb5,UP,2.363385596246655
il10rb,UP,2.36313814318169
rhob,UP,2.33928245775645
mlxipl,UP,2.320251925475977
slc2a5,UP,2.3009350069939862
crlf3,UP,2.295432006937423
b2m,UP,2.28115664361737
capza2,UP,2.263360952574088
sla,UP,2.262974688231597
nptn,UP,2.2587028114275154
plk3,UP,2.2293425942952454
p4ha1,UP,2.2208958051786047
sgce,UP,2.2054044366294305
gna15,UP,2.2051054122422094
evi2a,UP,2.194942902360712
cd84,UP,2.1929647442049256
nupr1,UP,2.1782437163058392
ywhah,UP,2.171026402196767
tsc22d3,UP,2.166132634503352
mylip,UP,2.1645795877570686
fos,UP,2.1567909994437664
tm6sf1,UP,2.15149494760405
rcbtb2,UP,2.144509791226902
cebpa,UP,2.1144979039854146
ube2j1,UP,2.099256197194043
rgs19,UP,2.087483467012768
rps6ka1,UP,2.0764046136526413
tbpl1,UP,2.0573084490684974
dusp1,UP,2.046579377664053
slc25a37,UP,2.042161581944345
rgs2,UP,2.038477885397784
dnajb4,UP,2.0064134408406527
gpbp1l1,UP,2.0062923262953913
ly86,UP,1.9993232565842536
tspan14,UP,1.9938855220773581
stambpl1,UP,1.9839966816389705
bin1,UP,1.9672761441975424
hspb1,UP,1.9463133834390167
rab3il1,UP,1.9457647267360036
map2k1,UP,1.9221401984632394
asph,UP,1.900135358951595
wsb1,UP,1.8863168749638106
birc3,UP,1.8856534261201308
pros1,UP,1.8773495536405238
cbx7,UP,1.8552079175437755
dapp1,UP,1.8472002689869849
atp2c1,UP,1.8264590781625007
ngly1,UP,1.816447760396097
pmp22,UP,1.8147879803717832
lgmn,UP,1.7891993592513593
itgb2,UP,1.7782352251611162
crot,UP,1.7761359353315793
tap2,UP,1.7678761115382875
tram1,UP,1.7618891244232358
cept1,UP,1.7503296432412738
clk1,UP,1.749463775140224
prkab1,UP,1.7463507170156078
m6pr,UP,1.738235158348546
acox3,UP,1.737653949364877
jun,UP,1.7370361147011761
hk2,UP,1.72992759249797
st3gal5,UP,1.7231899187784216
sparc,UP,1.7095226142066158
cd9,UP,1.7059695890158677
ifngr2,UP,1.6925847418636106
hmox2,UP,1.6867217043697038
srpr,UP,1.684179128565371
skap2,UP,1.6789671143715783
egr1,UP,1.6762687729112056
aif1,UP,1.6679527024736265
c1qb,UP,1.6668940290943974
mgat1,UP,1.6462169143741174
slc35a5,UP,1.636760510221578
prkcd,UP,1.622490449588155
hcls1,UP,1.616044447924879
reep5,UP,1.6058472107013266
phf1,UP,1.6036136447973168
acp2,UP,1.6033065313570263
cd14,UP,1.5860423366302254
smad7,UP,1.5817390329762044
tgfa,UP,1.574008760415813
xbp1,UP,1.569658923144643
chst7,UP,1.5543649867230707
chn2,UP,1.5528955257885975
klf2,UP,1.5424631807956377
tmem87a,UP,1.5401466453119275
spg20,UP,1.539993592907225
mgll,UP,1.5315709885442548
serinc1,UP,1.5280513865892544
coro2a,UP,1.5182644420467504
p2rx7,UP,1.5174771218523972
ly96,UP,1.506837162266913
ptk2b,UP,1.4964901871477145
pdgfb,UP,1.4934544062965613
egr2,UP,1.4932456198887125
scn1b,UP,1.4928627521825277
ctsh,UP,1.4842504798750935
kcnj2,UP,1.4796444632823211
dnajb9,UP,1.47162321674835
lrmp,UP,1.467848143733016
psap,UP,1.4485079744900509
nck1,UP,1.432409295118991
vipr1,UP,1.4137885934824719
slc10a3,UP,1.410887324239613
elf1,UP,1.410584538501423
junb,UP,1.403799774893847
oxct1,UP,1.4018103405597413
ivns1abp,UP,1.401030497645699
mal,UP,1.383735537386287
mgp,UP,1.38340959253046
lgals8,UP,1.3767270191057066
enpp2,UP,1.376009619907553
b4galt4,UP,1.3745449758121127
tpst2,UP,1.371385348667326
maf,UP,1.3638192737272496
serpinf1,UP,1.3617931657362172
cflar,UP,1.3605878356607204
mcl1,UP,1.3560433352040948
cd83,UP,1.338529859050618
tapbp,UP,1.3367267342271167
atp6v1c1,UP,1.3365960186830637
il13ra1,UP,1.3356877606921373
dnajb1,UP,1.3323574826022593
zfp36l1,UP,1.331057660420056
tmem106b,UP,1.32967356209957
nipa2,UP,1.3273767893953559
csf1r,UP,1.322625858020728
elmo1,UP,1.314972733070226
camk1,UP,1.3035082485882996
abhd6,UP,1.2989403498698318
