,age,tx,sex,sample_name,index
0,E18,SAL,F,F_E18 1,0.20568167476897656
1,E18,SAL,F,F_E18 2,0.13680601567859862
2,E18,SAL,F,F_E18 3,0.20004630128995848
3,E18,SAL,F,F_E18 4,0.0
4,P14,SAL,F,F_P14 1,0.5154689745310908
5,P14,SAL,F,F_P14 2,0.5086736561633822
6,P14,SAL,F,F_P14 3,0.46606620794526166
7,P14,SAL,F,F_P14 4,0.51457141463344
8,P14,SAL,F,F_P14 5,0.39891185233569976
9,P14,SAL,F,F_P14 6,0.49379763674615723
10,P14,SAL,F,F_P14 7,0.518201314722405
11,P14,SAL,F,F_P14 8,0.6714195152884428
12,P14,SAL,F,F_P14 9,0.6074572559943894
13,P14,SAL,F,F_P14 10,0.6188937720840997
14,P4,SAL,F,F_P4 1,0.31149889877308706
15,P4,SAL,F,F_P4 2,0.38230746253921244
16,P4,SAL,F,F_P4 3,0.3778937857297503
17,P4,SAL,F,F_P4 4,0.39120782110370056
18,P60,LPS,F,F_P60_LPS 1,0.8590608363891987
19,P60,LPS,F,F_P60_LPS 2,0.7156761781895863
20,P60,LPS,F,F_P60_LPS 3,0.9751619546537462
21,P60,LPS,F,F_P60_LPS 4,0.6233282500034923
22,P60,LPS,F,F_P60_LPS 5,0.6859820957928845
23,P60,LPS,F,F_P60_LPS 6,0.6382703836946974
24,P60,LPS,F,F_P60_LPS 8,0.8710336309677472
25,P60,SAL,F,F_P60_Sal 1,0.7821910450951072
26,P60,SAL,F,F_P60_Sal 2,0.7303206696240102
27,P60,SAL,F,F_P60_Sal 3,0.7334335289941637
28,P60,SAL,F,F_P60_Sal 4,0.8469259922231015
29,P60,SAL,F,F_P60_Sal 5,1.0
30,P60,SAL,F,F_P60_Sal 6,0.7174008603488946
31,P60,SAL,F,F_P60_Sal 7,0.7142126882955698
32,E18,SAL,M,M_E18 1,0.1294271923691499
33,E18,SAL,M,M_E18 2,0.17328070486620206
34,E18,SAL,M,M_E18 3,0.1308776367964952
35,P14,SAL,M,M_P14 1,0.6377142225998754
36,P14,SAL,M,M_P14 2,0.5448638145619793
37,P14,SAL,M,M_P14 3,0.5532542176425626
38,P14,SAL,M,M_P14 4,0.5063882047332492
39,P14,SAL,M,M_P14 5,0.46222912866051313
40,P14,SAL,M,M_P14 6,0.4569712157940161
41,P14,SAL,M,M_P14 7,0.46331620617905983
42,P14,SAL,M,M_P14 8,0.6103730057672415
43,P14,SAL,M,M_P14 9,0.6812556040744929
44,P14,SAL,M,M_P14 10,0.6112328666860047
45,P4,SAL,M,M_P4 1,0.3338363941483222
46,P4,SAL,M,M_P4 2,0.3677710279267748
47,P4,SAL,M,M_P4 3,0.33738866736933903
48,P4,SAL,M,M_P4 4,0.4301959398272327
49,P60,LPS,M,M_P60_LPS 1,0.8034401242149928
50,P60,LPS,M,M_P60_LPS 2,0.7473565440035865
51,P60,LPS,M,M_P60_LPS 3,0.9858718923814398
52,P60,LPS,M,M_P60_LPS 4,0.7166237366126001
53,P60,LPS,M,M_P60_LPS 5,0.7180953090007497
54,P60,LPS,M,M_P60_LPS 6,0.8230068161817106
55,P60,SAL,M,M_P60_Sal 1,0.6716827746464329
56,P60,SAL,M,M_P60_Sal 2,0.7431488323532315
57,P60,SAL,M,M_P60_Sal 3,0.5772264169140463
58,P60,SAL,M,M_P60_Sal 4,0.609108686838238
59,P60,SAL,M,M_P60_Sal 5,0.6482472848831633
