gene,direction,valence
spp1,DOWN,-2.690736855
nt5dc2,DOWN,-2.4790521
44085,DOWN,-2.456187036
eif5a,DOWN,-2.370103711
ehd1,DOWN,-2.354348805
carhsp1,DOWN,-2.331911372
cd44,DOWN,-2.306683099
emp1,DOWN,-2.268737104
psat1,DOWN,-2.248942646
gnb1,DOWN,-2.24036797
slc11a2,DOWN,-2.210889592
bzw2,DOWN,-2.20824913
anapc5,DOWN,-2.204875101
cfl1,DOWN,-2.194869989
ldha,DOWN,-2.18577815
stx6,DOWN,-2.173013996
rnf4,DOWN,-2.146113848
hmgn1,DOWN,-2.136017606
ywhae,DOWN,-2.135422847
vim,DOWN,-2.131740384
pdap1,DOWN,-2.071650438
mllt11,DOWN,-2.070772676
map1lc3b,DOWN,-2.065345842
cplx2,DOWN,-2.0608917
nap1l4,DOWN,-2.054717498
ilf2,DOWN,-2.046532396
ppp2ca,DOWN,-2.033577428
kctd5,DOWN,-1.996923632
g3bp1,DOWN,-1.984999255
gdi1,DOWN,-1.937363483
nono,DOWN,-1.925535404
tsc22d1,DOWN,-1.917737021
cct2,DOWN,-1.913001964
slc39a1,DOWN,-1.91242084
hn1,DOWN,-1.904507039
nip7,DOWN,-1.889443457
eef1a1,DOWN,-1.886304696
odc1,DOWN,-1.884768299
csnk1a1,DOWN,-1.870866622
btf3,DOWN,-1.866091639
pop4,DOWN,-1.843770885
tubb2b,DOWN,-1.836043587
sf3b3,DOWN,-1.833024643
tyms,DOWN,-1.828569178
rufy3,DOWN,-1.823920241
slc7a1,DOWN,-1.82311963
nkiras2,DOWN,-1.822559591
prc1,DOWN,-1.818234187
stmn1,DOWN,-1.809814799
atxn10,DOWN,-1.789200355
apex1,DOWN,-1.789112223
anxa2,DOWN,-1.782764648
coro1c,DOWN,-1.782084189
dap3,DOWN,-1.774301418
ctnnbip1,DOWN,-1.762891525
rps24,DOWN,-1.744949725
hdac2,DOWN,-1.735163078
eif4h,DOWN,-1.71577054
cs,DOWN,-1.711132029
cdk4,DOWN,-1.705735623
pa2g4,DOWN,-1.702346844
gpm6b,DOWN,-1.702255137
lmo4,DOWN,-1.693113299
arf1,DOWN,-1.675969932
ldlr,DOWN,-1.675149799
wdr1,DOWN,-1.671529653
tspan5,DOWN,-1.667587543
ddb1,DOWN,-1.66180105
cct8,DOWN,-1.656726775
nasp,DOWN,-1.656199164
cct7,DOWN,-1.653339088
flot1,DOWN,-1.652493371
hmgcr,DOWN,-1.648641385
diablo,DOWN,-1.64090987
psmb4,DOWN,-1.640493006
sepw1,DOWN,-1.615625826
thra,DOWN,-1.606987983
hdgf,DOWN,-1.599039393
cct5,DOWN,-1.591164497
sar1a,DOWN,-1.59103234
ppp2r1a,DOWN,-1.568247096
psmd2,DOWN,-1.567628318
gsto1,DOWN,-1.566411046
raly,DOWN,-1.563972947
rnps1,DOWN,-1.561979925
psmd7,DOWN,-1.556722502
ctsb,DOWN,-1.555483556
igfbp4,DOWN,-1.549210058
psmb7,DOWN,-1.545932752
cdkn1b,DOWN,-1.545831024
ensa,DOWN,-1.526169962
emd,DOWN,-1.525282715
ssr2,DOWN,-1.522288345
ttyh1,DOWN,-1.520507279
ptbp2,DOWN,-1.519433885
pmpca,DOWN,-1.505095532
arf4,DOWN,-1.504621952
lgals3,DOWN,-1.504359004
phb2,DOWN,-1.502739753
eef2,DOWN,-1.499832852
strap,DOWN,-1.488593446
spin1,DOWN,-1.487235276
dhdds,DOWN,-1.484406022
col4a1,DOWN,-1.474020795
nap1l1,DOWN,-1.473518295
lpl,DOWN,-1.470349916
ctnnb1,DOWN,-1.463829012
cuedc2,DOWN,-1.462965607
ran,DOWN,-1.460544127
rpl22,DOWN,-1.460229887
cnbp,DOWN,-1.459661987
gstz1,DOWN,-1.459404956
capns1,DOWN,-1.45924337
tnpo2,DOWN,-1.459158203
msra,DOWN,-1.454652429
hax1,DOWN,-1.453393126
armcx2,DOWN,-1.452178002
ngfrap1,DOWN,-1.450354457
fasn,DOWN,-1.449945406
srm,DOWN,-1.438925006
bap1,DOWN,-1.43853789
cry2,DOWN,-1.437673297
klhdc3,DOWN,-1.434958343
idh1,DOWN,-1.434163223
lancl1,DOWN,-1.434008095
col4a2,DOWN,-1.433947673
txnrd1,DOWN,-1.429101535
prdx2,DOWN,-1.427523659
pcbp2,DOWN,-1.424841291
nup93,DOWN,-1.424408729
aacs,DOWN,-1.419505126
nup62,DOWN,-1.418952126
plk2,DOWN,-1.417245347
tarbp2,DOWN,-1.409023012
ssrp1,DOWN,-1.406628938
nras,DOWN,-1.4042421
anxa6,DOWN,-1.395305101
gabarapl1,DOWN,-1.389620088
atp5c1,DOWN,-1.38039877
fbxw11,DOWN,-1.380362954
atp6v0d1,DOWN,-1.378023848
tollip,DOWN,-1.37772516
stx1a,DOWN,-1.375183936
fbxo21,DOWN,-1.370028494
cirbp,DOWN,-1.369281559
vat1,DOWN,-1.367098745
sin3b,DOWN,-1.366998781
tardbp,DOWN,-1.36486815
rrm1,DOWN,-1.360235208
ube2m,DOWN,-1.356749093
casp3,DOWN,-1.356436378
sdc4,DOWN,-1.355795832
tomm22,DOWN,-1.355762396
ube2g1,DOWN,-1.353819407
zwint,DOWN,-1.352567623
med8,DOWN,-1.350613285
tnfaip1,DOWN,-1.348100233
flot2,DOWN,-1.346631538
ppp2r5b,DOWN,-1.345492874
blcap,DOWN,-1.345471306
actr3,DOWN,-1.343839651
ndufs2,DOWN,-1.342262217
ing4,DOWN,-1.337625129
kif3a,DOWN,-1.336354048
ap2s1,DOWN,-1.336303732
hdac3,DOWN,-1.335907692
kif3c,DOWN,-1.334535628
elk1,DOWN,-1.33153861
trim2,DOWN,-1.330619687
pcna,DOWN,-1.32821106
rad23b,DOWN,-1.32813046
snrpa1,DOWN,-1.324237094
wdr4,DOWN,-1.323000073
arfip2,DOWN,-1.322793458
parp6,DOWN,-1.322695391
mcm4,DOWN,-1.321744198
eif2b4,DOWN,-1.320514685
rbbp7,DOWN,-1.317108477
dctn2,DOWN,-1.316032199
gla,DOWN,-1.315655031
atad3a,DOWN,-1.312764001
ndufb8,DOWN,-1.310430229
hsbp1,DOWN,-1.306897853
poldip2,DOWN,-1.305741325
h1f0,DOWN,-1.301514882
slc7a6,DOWN,-1.295592769
cdk5r1,DOWN,-1.294290276
polr2h,DOWN,-1.292651996
camk2b,DOWN,-1.29120098
ddx56,DOWN,-1.289867778
pbx1,DOWN,-1.288786467
aldh18a1,DOWN,-1.284204064
cdc37,DOWN,-1.284024692
men1,DOWN,-1.282927318
maged1,DOWN,-1.281439903
psmb1,DOWN,-1.28036464
h2afz,DOWN,-1.280067831
actr1a,DOWN,-1.279626171
nipsnap1,DOWN,-1.27804475
gja1,DOWN,-1.276207081
csnk2b,DOWN,-1.276066812
s100a10,DOWN,-1.274469666
cstb,DOWN,-1.274003248
rbm4b,DOWN,-1.273946921
cops5,DOWN,-1.270925294
elovl5,DOWN,-1.270793577
tmem132a,DOWN,-1.270274966
smu1,DOWN,-1.269997662
ilk,DOWN,-1.26693897
maged2,DOWN,-1.265793851
zdhhc3,DOWN,-1.264862691
copz1,DOWN,-1.264462188
faf1,DOWN,-1.262243891
gltscr2,DOWN,-1.260543986
prkar1a,DOWN,-1.255415189
atg12,DOWN,-1.254862556
cdc23,DOWN,-1.251696479
gadd45b,DOWN,-1.250997814
elavl4,DOWN,-1.250080845
smarcd1,DOWN,-1.249993256
psmd13,DOWN,-1.24654253
cdc16,DOWN,-1.243381493
tagln2,DOWN,-1.241333133
ralgds,DOWN,-1.240395496
socs2,DOWN,-1.24034962
arpc5,DOWN,-1.239589765
snrpd3,DOWN,-1.238340679
stk25,DOWN,-1.237449435
banf1,DOWN,-1.237160198
atp5b,DOWN,-1.233378749
rangap1,DOWN,-1.233133549
gabarap,DOWN,-1.231707628
igfbp3,DOWN,-1.229010601
raf1,DOWN,-1.225599962
prpf19,DOWN,-1.225197006
psmd3,DOWN,-1.22298074
sec61a1,DOWN,-1.222119281
itpa,DOWN,-1.220328729
sephs1,DOWN,-1.220163466
cdh5,DOWN,-1.21763616
cd2bp2,DOWN,-1.217164718
ednrb,DOWN,-1.216673797
pebp1,DOWN,-1.215147193
zbtb17,DOWN,-1.21497691
psmb2,DOWN,-1.214411467
sv2a,DOWN,-1.210239992
usp11,DOWN,-1.210022434
ptov1,DOWN,-1.209841144
acat1,DOWN,-1.209153038
rpl41,DOWN,-1.207724441
actr1b,DOWN,-1.203625407
fbln2,DOWN,-1.20118626
fdft1,DOWN,-1.198560492
entpd6,DOWN,-1.196609114
stx12,DOWN,-1.193743161
