,common name,ens id
0,Zfp85-rs1,https://www.targetvalidation.org/target/Unknown/associations
1,Scap,https://www.targetvalidation.org/target/ENSG00000114650/associations
2,Zfp458,https://www.targetvalidation.org/target/ENSG00000197008/associations
3,Fbxo41,https://www.targetvalidation.org/target/ENSG00000163013/associations
4,Taf9b,https://www.targetvalidation.org/target/ENSG00000187325/associations
5,BC051142,https://www.targetvalidation.org/target/ENSG00000204296/associations
6,Ccdc148,https://www.targetvalidation.org/target/ENSG00000153237/associations
7,BC048546,https://www.targetvalidation.org/target/Unknown/associations
8,Zfp941,https://www.targetvalidation.org/target/ENSG00000175395/associations
9,BC031181,https://www.targetvalidation.org/target/Unknown/associations
10,Baz2b,https://www.targetvalidation.org/target/ENSG00000123636/associations
11,Tmem204,https://www.targetvalidation.org/target/ENSG00000131634/associations
12,Ccdc111,https://www.targetvalidation.org/target/ENSG00000164306/associations
13,BC048507,https://www.targetvalidation.org/target/ENSG00000088986/associations
14,Zfp456,https://www.targetvalidation.org/target/ENSG00000197013/associations
15,Zfp738,https://www.targetvalidation.org/target/ENSG00000234444/associations
16,Dis3l,https://www.targetvalidation.org/target/ENSG00000166938/associations
17,Thnsl1,https://www.targetvalidation.org/target/ENSG00000185875/associations
18,Itga8,https://www.targetvalidation.org/target/ENSG00000077943/associations
19,Pramel4,https://www.targetvalidation.org/target/ENSG00000185686/associations
20,Tbx10,https://www.targetvalidation.org/target/ENSG00000167800/associations
21,Slc35d2,https://www.targetvalidation.org/target/ENSG00000130958/associations
22,Adamts13,https://www.targetvalidation.org/target/ENSG00000160323/associations
23,St5,https://www.targetvalidation.org/target/ENSG00000166444/associations
24,Vkorc1l1,https://www.targetvalidation.org/target/ENSG00000196715/associations
25,BC117090,https://www.targetvalidation.org/target/ENSG00000112164/associations
26,Hexdc,https://www.targetvalidation.org/target/ENSG00000169660/associations
27,BC061194,https://www.targetvalidation.org/target/Unknown/associations
28,Plekha8,https://www.targetvalidation.org/target/ENSG00000106086/associations
29,Defb29,https://www.targetvalidation.org/target/ENSG00000125903/associations
30,Trpv1,https://www.targetvalidation.org/target/ENSG00000196689/associations
31,Cyp2c44,https://www.targetvalidation.org/target/ENSG00000108242/associations
32,Zscan22,https://www.targetvalidation.org/target/ENSG00000182318/associations
33,AF067063,https://www.targetvalidation.org/target/Unknown/associations
34,Ssxb2,https://www.targetvalidation.org/target/ENSG00000268447/associations
35,Tas2r138,https://www.targetvalidation.org/target/ENSG00000169777/associations
36,Tas2r143,https://www.targetvalidation.org/target/ENSG00000169777/associations
37,Tas2r144,https://www.targetvalidation.org/target/ENSG00000169777/associations
38,Ttyh1,https://www.targetvalidation.org/target/ENSG00000167614/associations
39,Atp8b1,https://www.targetvalidation.org/target/ENSG00000081923/associations
40,BC021785,https://www.targetvalidation.org/target/ENSG00000112164/associations
41,Oxgr1,https://www.targetvalidation.org/target/ENSG00000165621/associations
42,Tpm4,https://www.targetvalidation.org/target/ENSG00000167460/associations
43,Lca5l,https://www.targetvalidation.org/target/ENSG00000157578/associations
44,BC056474,https://www.targetvalidation.org/target/ENSG00000065361/associations
45,Tnip3,https://www.targetvalidation.org/target/ENSG00000050730/associations
46,Gja6,https://www.targetvalidation.org/target/Unknown/associations
47,Dub2a,https://www.targetvalidation.org/target/ENSG00000134371/associations
48,Chpf,https://www.targetvalidation.org/target/ENSG00000123989/associations
49,Chpf,https://www.targetvalidation.org/target/ENSG00000123989/associations
50,Dab2ip,https://www.targetvalidation.org/target/ENSG00000136848/associations
51,Prss48,https://www.targetvalidation.org/target/ENSG00000189099/associations
52,Sohlh1,https://www.targetvalidation.org/target/ENSG00000165643/associations
53,Whsc1l1,https://www.targetvalidation.org/target/ENSG00000147548/associations
54,Itprip,https://www.targetvalidation.org/target/ENSG00000148841/associations
55,Zfp239,https://www.targetvalidation.org/target/ENSG00000198939/associations
56,Prrxl1,https://www.targetvalidation.org/target/ENSG00000165606/associations
57,Atp11c,https://www.targetvalidation.org/target/ENSG00000101974/associations
58,Spink7,https://www.targetvalidation.org/target/ENSG00000145879/associations
59,Ephx4,https://www.targetvalidation.org/target/ENSG00000172031/associations
60,Olfr576,https://www.targetvalidation.org/target/ENSG00000176895/associations
61,Zfp36l2,https://www.targetvalidation.org/target/ENSG00000152518/associations
62,Olfr279,https://www.targetvalidation.org/target/ENSG00000204657/associations
63,Olfr221,https://www.targetvalidation.org/target/ENSG00000169327/associations
64,Olfr218,https://www.targetvalidation.org/target/ENSG00000204657/associations
65,Olfr1206,https://www.targetvalidation.org/target/Unknown/associations
66,Mpzl1,https://www.targetvalidation.org/target/ENSG00000197965/associations
67,2510009E07Rik,https://www.targetvalidation.org/target/ENSG00000163485/associations
68,Rtel1,https://www.targetvalidation.org/target/ENSG00000258366/associations
69,Hecw2,https://www.targetvalidation.org/target/ENSG00000138411/associations
70,Nckap5l,https://www.targetvalidation.org/target/ENSG00000167566/associations
71,Tmem151a,https://www.targetvalidation.org/target/ENSG00000179292/associations
72,H2-K1,https://www.targetvalidation.org/target/ENSG00000204525/associations
73,Eea1,https://www.targetvalidation.org/target/ENSG00000102189/associations
74,Megf10,https://www.targetvalidation.org/target/ENSG00000145794/associations
75,Limch1,https://www.targetvalidation.org/target/ENSG00000064042/associations
76,Utp14b,https://www.targetvalidation.org/target/ENSG00000156697/associations
77,A430105I19Rik,https://www.targetvalidation.org/target/Unknown/associations
78,Pi4ka,https://www.targetvalidation.org/target/ENSG00000241973/associations
79,Kdm2a,https://www.targetvalidation.org/target/ENSG00000173120/associations
80,Nat8l,https://www.targetvalidation.org/target/ENSG00000185818/associations
81,8430427H17Rik,https://www.targetvalidation.org/target/Unknown/associations
82,Gp1bb,https://www.targetvalidation.org/target/ENSG00000203618/associations
83,2610507B11Rik,https://www.targetvalidation.org/target/ENSG00000007202/associations
84,Panx2,https://www.targetvalidation.org/target/ENSG00000073150/associations
85,Zfp948,https://www.targetvalidation.org/target/ENSG00000175395/associations
86,Lmna,https://www.targetvalidation.org/target/ENSG00000160789/associations
87,Hspa2,https://www.targetvalidation.org/target/ENSG00000126803/associations
88,Tdrd1,https://www.targetvalidation.org/target/ENSG00000095627/associations
89,Rpl17,https://www.targetvalidation.org/target/ENSG00000265681/associations
90,Tdrd1,https://www.targetvalidation.org/target/ENSG00000095627/associations
91,Tdrd1,https://www.targetvalidation.org/target/ENSG00000095627/associations
92,Tmem158,https://www.targetvalidation.org/target/ENSG00000249992/associations
93,Gpr126,https://www.targetvalidation.org/target/ENSG00000112414/associations
94,Tro,https://www.targetvalidation.org/target/ENSG00000067445/associations
95,Smg6,https://www.targetvalidation.org/target/ENSG00000070366/associations
96,Rab44,https://www.targetvalidation.org/target/ENSG00000255587/associations
97,Ccin,https://www.targetvalidation.org/target/ENSG00000185972/associations
98,Defb22,https://www.targetvalidation.org/target/ENSG00000176782/associations
99,Pram1,https://www.targetvalidation.org/target/ENSG00000133246/associations
100,Fbxl12,https://www.targetvalidation.org/target/ENSG00000127452/associations
101,Nlrp14,https://www.targetvalidation.org/target/ENSG00000158077/associations
102,AI413582,https://www.targetvalidation.org/target/ENSG00000186577/associations
103,Bfsp2,https://www.targetvalidation.org/target/ENSG00000170819/associations
104,Atg9b,https://www.targetvalidation.org/target/ENSG00000181652/associations
105,Sirpb1a,https://www.targetvalidation.org/target/ENSG00000101307/associations
106,Higd1c,https://www.targetvalidation.org/target/ENSG00000214511/associations
107,Penk,https://www.targetvalidation.org/target/ENSG00000181195/associations
108,Nup85,https://www.targetvalidation.org/target/ENSG00000125450/associations
109,Igfl3,https://www.targetvalidation.org/target/ENSG00000188624/associations
110,Try5,https://www.targetvalidation.org/target/Unknown/associations
111,Gm5409,https://www.targetvalidation.org/target/ENSG00000010438/associations
112,Zfp457,https://www.targetvalidation.org/target/ENSG00000234444/associations
113,Krt77,https://www.targetvalidation.org/target/ENSG00000189182/associations
114,Krt83,https://www.targetvalidation.org/target/ENSG00000170523/associations
